x_mm,run_label,global_id,threshold_pe,mean_t_ps,rms_t_ps,eff,included
-400,Run 3,36,20,1722.935,193.606,1.000000,True
-400,Run 3,37,20,1985.633,231.819,1.000000,True
-400,Run 3,38,20,2143.311,239.594,1.000000,True
-400,Run 3,39,20,2254.561,260.740,1.000000,True
-400,Run 3,40,20,2420.495,284.977,1.000000,True
-400,Run 3,41,20,2672.043,325.350,1.000000,True
-400,Run 3,42,20,3377.215,649.272,0.998000,True
-400,Run 3,43,20,3927.337,930.325,0.994500,True
-400,Run 3,44,20,3436.925,546.154,1.000000,True
-400,Run 3,45,20,3444.752,522.142,1.000000,True
-400,Run 3,46,20,3839.895,745.683,0.998000,True
-400,Run 3,47,20,nan,nan,0.964000,False
-400,Run 3,48,20,nan,nan,0.874500,False
-400,Run 3,49,20,nan,nan,0.959000,False
-400,Run 3,50,20,nan,nan,0.749500,False
-400,Run 3,51,20,nan,nan,0.900000,False
-400,Run 3,52,20,nan,nan,0.293500,False
-400,Run 3,53,20,nan,nan,0.325500,False
-400,Run 3,54,20,nan,nan,0.579000,False
-400,Run 3,55,20,nan,nan,0.332000,False
-400,Run 3,56,20,nan,nan,0.408000,False
-400,Run 3,57,20,nan,nan,0.059500,False
-400,Run 3,58,20,nan,nan,0.074000,False
-400,Run 3,59,20,nan,nan,0.114000,False
-400,Run 3,60,20,nan,nan,0.063000,False
-400,Run 3,61,20,nan,nan,0.027000,False
-400,Run 3,62,20,nan,nan,0.012000,False
-400,Run 3,63,20,nan,nan,0.014500,False
-400,Run 3,64,20,nan,nan,0.015000,False
-400,Run 3,65,20,nan,nan,0.017500,False
-400,Run 3,66,20,nan,nan,0.008000,False
-400,Run 3,67,20,nan,nan,0.007000,False
-400,Run 3,68,20,nan,nan,0.004000,False
-400,Run 3,69,20,nan,nan,0.002500,False
-400,Run 3,70,20,nan,nan,0.002000,False
-400,Run 3,71,20,nan,nan,0.001000,False
-400,Run 3,72,20,nan,nan,0.000000,False
-400,Run 3,73,20,nan,nan,0.000000,False
-400,Run 3,74,20,nan,nan,0.000000,False
-400,Run 3,75,20,nan,nan,0.000500,False
-400,Run 3,76,20,nan,nan,0.000000,False
-400,Run 3,77,20,nan,nan,0.000000,False
-400,Run 3,78,20,nan,nan,0.000000,False
-400,Run 3,79,20,nan,nan,0.000000,False
-400,Run 3,80,20,nan,nan,0.000000,False
-400,Run 3,81,20,nan,nan,0.000000,False
