x_mm,run_label,global_id,threshold_pe,mean_t_ps,rms_t_ps,eff,included
-690,Run 1,46,20,nan,nan,0.006500,False
-690,Run 1,47,20,nan,nan,0.018000,False
-690,Run 1,48,20,nan,nan,0.011000,False
-690,Run 1,49,20,nan,nan,0.007500,False
-690,Run 1,50,20,nan,nan,0.002000,False
-690,Run 1,51,20,nan,nan,0.001500,False
-690,Run 1,52,20,nan,nan,0.000500,False
-690,Run 1,53,20,nan,nan,0.001500,False
-690,Run 1,54,20,nan,nan,0.001000,False
-690,Run 1,55,20,nan,nan,0.000000,False
-690,Run 1,56,20,nan,nan,0.000000,False
-690,Run 1,57,20,nan,nan,0.000000,False
-690,Run 1,58,20,nan,nan,0.000500,False
-690,Run 1,59,20,nan,nan,0.000000,False
-690,Run 1,60,20,nan,nan,0.000000,False
-690,Run 1,61,20,nan,nan,0.000000,False
-690,Run 1,62,20,nan,nan,0.000000,False
-690,Run 1,63,20,nan,nan,0.000000,False
-690,Run 1,64,20,nan,nan,0.000000,False
-690,Run 1,65,20,nan,nan,0.000000,False
-690,Run 1,66,20,nan,nan,0.000000,False
-690,Run 1,67,20,nan,nan,0.000000,False
-690,Run 1,68,20,nan,nan,0.000000,False
-690,Run 1,69,20,nan,nan,0.000000,False
-690,Run 1,70,20,nan,nan,0.000000,False
-690,Run 1,71,20,nan,nan,0.000000,False
-690,Run 1,72,20,nan,nan,0.000000,False
-690,Run 1,73,20,nan,nan,0.000000,False
-690,Run 1,74,20,nan,nan,0.000000,False
-690,Run 1,75,20,nan,nan,0.000000,False
-690,Run 1,76,20,nan,nan,0.000000,False
-690,Run 1,77,20,nan,nan,0.000000,False
-690,Run 1,78,20,nan,nan,0.000000,False
-690,Run 1,79,20,nan,nan,0.000000,False
-690,Run 1,80,20,nan,nan,0.000000,False
-690,Run 1,81,20,nan,nan,0.000000,False
-690,Run 1,82,20,nan,nan,0.000000,False
-690,Run 1,83,20,nan,nan,0.000000,False
-690,Run 1,84,20,nan,nan,0.000000,False
-690,Run 1,85,20,nan,nan,0.000000,False
-400,Run 3,16,20,nan,nan,0.983500,False
-400,Run 3,17,20,nan,nan,0.953000,False
-400,Run 3,18,20,3455.710,746.898,0.994000,True
-400,Run 3,19,20,2833.616,438.576,1.000000,True
-400,Run 3,20,20,2650.103,363.404,1.000000,True
-400,Run 3,21,20,2382.056,313.503,1.000000,True
-400,Run 3,22,20,2546.053,401.330,1.000000,True
-400,Run 3,23,20,2093.861,254.146,1.000000,True
-400,Run 3,24,20,1827.576,208.545,1.000000,True
-400,Run 3,25,20,1648.759,188.041,1.000000,True
-400,Run 3,26,20,1454.243,150.307,1.000000,True
-400,Run 3,27,20,1332.992,150.407,1.000000,True
-400,Run 3,28,20,1096.952,114.726,1.000000,True
-400,Run 3,29,20,874.297,87.162,1.000000,True
-400,Run 3,30,20,698.049,70.905,1.000000,True
-400,Run 3,31,20,680.787,69.426,1.000000,True
-400,Run 3,32,20,838.571,88.724,1.000000,True
-400,Run 3,33,20,1052.421,109.599,1.000000,True
-400,Run 3,34,20,1238.588,130.423,1.000000,True
-400,Run 3,35,20,1420.825,146.331,1.000000,True
-400,Run 3,36,20,1629.058,180.544,1.000000,True
-400,Run 3,37,20,1878.747,224.890,1.000000,True
-400,Run 3,38,20,2043.216,234.907,1.000000,True
-400,Run 3,39,20,2159.022,260.182,1.000000,True
-400,Run 3,40,20,2340.051,291.279,1.000000,True
-400,Run 3,41,20,2577.765,322.018,1.000000,True
-400,Run 3,42,20,3393.086,789.298,0.994000,True
-400,Run 3,43,20,nan,nan,0.968500,False
-400,Run 3,44,20,3452.832,699.368,0.998000,True
-400,Run 3,45,20,3472.559,703.795,0.996500,True
-400,Run 3,46,20,nan,nan,0.979500,False
-400,Run 3,47,20,nan,nan,0.822500,False
-400,Run 3,48,20,nan,nan,0.653500,False
-400,Run 3,49,20,nan,nan,0.807500,False
-400,Run 3,50,20,nan,nan,0.474500,False
-400,Run 3,51,20,nan,nan,0.625000,False
-400,Run 3,52,20,nan,nan,0.127000,False
-400,Run 3,53,20,nan,nan,0.131500,False
-400,Run 3,54,20,nan,nan,0.264500,False
-400,Run 3,55,20,nan,nan,0.124000,False
-400,Run 3,56,20,nan,nan,0.177500,False
-400,Run 3,57,20,nan,nan,0.020500,False
-400,Run 3,58,20,nan,nan,0.035000,False
-400,Run 3,59,20,nan,nan,0.038500,False
-400,Run 3,60,20,nan,nan,0.019500,False
-400,Run 3,61,20,nan,nan,0.005000,False
-400,Run 3,62,20,nan,nan,0.005000,False
-400,Run 3,63,20,nan,nan,0.005500,False
-400,Run 3,64,20,nan,nan,0.002000,False
-400,Run 3,65,20,nan,nan,0.003000,False
-400,Run 3,66,20,nan,nan,0.002000,False
-400,Run 3,67,20,nan,nan,0.001500,False
-400,Run 3,68,20,nan,nan,0.000500,False
-400,Run 3,69,20,nan,nan,0.000000,False
-400,Run 3,70,20,nan,nan,0.001000,False
-400,Run 3,71,20,nan,nan,0.000000,False
-400,Run 3,72,20,nan,nan,0.000000,False
-400,Run 3,73,20,nan,nan,0.000000,False
-400,Run 3,74,20,nan,nan,0.000000,False
-400,Run 3,75,20,nan,nan,0.000000,False
-400,Run 3,76,20,nan,nan,0.000000,False
-400,Run 3,77,20,nan,nan,0.000000,False
-400,Run 3,78,20,nan,nan,0.000000,False
-400,Run 3,79,20,nan,nan,0.000000,False
-400,Run 3,80,20,nan,nan,0.000000,False
-400,Run 3,81,20,nan,nan,0.000000,False
-400,Run 3,82,20,nan,nan,0.000000,False
-400,Run 3,83,20,nan,nan,0.000000,False
-400,Run 3,84,20,nan,nan,0.000000,False
-400,Run 3,85,20,nan,nan,0.000000,False
0,Run 4,16,20,nan,nan,0.003000,False
0,Run 4,17,20,nan,nan,0.001000,False
0,Run 4,18,20,nan,nan,0.003000,False
0,Run 4,19,20,nan,nan,0.001500,False
0,Run 4,20,20,nan,nan,0.030500,False
0,Run 4,21,20,nan,nan,0.012000,False
0,Run 4,22,20,nan,nan,0.031000,False
0,Run 4,23,20,nan,nan,0.018500,False
0,Run 4,24,20,nan,nan,0.084000,False
0,Run 4,25,20,nan,nan,0.223000,False
0,Run 4,26,20,nan,nan,0.049500,False
0,Run 4,27,20,nan,nan,0.109000,False
0,Run 4,28,20,nan,nan,0.047500,False
0,Run 4,29,20,nan,nan,0.511000,False
0,Run 4,30,20,nan,nan,0.388000,False
0,Run 4,31,20,nan,nan,0.693500,False
0,Run 4,32,20,nan,nan,0.662000,False
0,Run 4,33,20,nan,nan,0.615500,False
0,Run 4,34,20,nan,nan,0.929500,False
0,Run 4,35,20,nan,nan,0.890000,False
0,Run 4,36,20,nan,nan,0.988500,False
0,Run 4,37,20,nan,nan,0.941500,False
0,Run 4,38,20,3444.709,767.948,0.995500,True
0,Run 4,39,20,2788.654,399.545,1.000000,True
0,Run 4,40,20,2687.481,390.391,1.000000,True
0,Run 4,41,20,2391.090,314.278,1.000000,True
0,Run 4,42,20,2534.279,404.830,1.000000,True
0,Run 4,43,20,2097.660,248.627,1.000000,True
0,Run 4,44,20,1839.409,208.451,1.000000,True
0,Run 4,45,20,1648.248,181.734,1.000000,True
0,Run 4,46,20,1452.290,152.175,1.000000,True
0,Run 4,47,20,1323.771,150.274,1.000000,True
0,Run 4,48,20,1096.907,115.094,1.000000,True
0,Run 4,49,20,872.244,88.549,1.000000,True
0,Run 4,50,20,698.814,73.203,1.000000,True
0,Run 4,51,20,698.791,72.595,1.000000,True
0,Run 4,52,20,871.630,88.446,1.000000,True
0,Run 4,53,20,1099.050,111.924,1.000000,True
0,Run 4,54,20,1332.512,147.373,1.000000,True
0,Run 4,55,20,1450.573,149.190,1.000000,True
0,Run 4,56,20,1643.101,181.174,1.000000,True
0,Run 4,57,20,1831.298,206.186,1.000000,True
0,Run 4,58,20,2102.303,249.626,1.000000,True
0,Run 4,59,20,2543.359,404.015,1.000000,True
0,Run 4,60,20,2393.750,308.743,1.000000,True
0,Run 4,61,20,2681.364,387.322,1.000000,True
0,Run 4,62,20,2804.157,410.607,1.000000,True
0,Run 4,63,20,3450.873,739.328,0.995000,True
0,Run 4,64,20,nan,nan,0.932000,False
0,Run 4,65,20,nan,nan,0.987000,False
0,Run 4,66,20,nan,nan,0.891000,False
0,Run 4,67,20,nan,nan,0.928000,False
0,Run 4,68,20,nan,nan,0.627000,False
0,Run 4,69,20,nan,nan,0.670500,False
0,Run 4,70,20,nan,nan,0.681500,False
0,Run 4,71,20,nan,nan,0.383000,False
0,Run 4,72,20,nan,nan,0.508500,False
0,Run 4,73,20,nan,nan,0.043500,False
0,Run 4,74,20,nan,nan,0.097000,False
0,Run 4,75,20,nan,nan,0.042500,False
0,Run 4,76,20,nan,nan,0.235500,False
0,Run 4,77,20,nan,nan,0.082500,False
0,Run 4,78,20,nan,nan,0.023500,False
0,Run 4,79,20,nan,nan,0.025000,False
0,Run 4,80,20,nan,nan,0.014500,False
0,Run 4,81,20,nan,nan,0.023000,False
0,Run 4,82,20,nan,nan,0.001000,False
0,Run 4,83,20,nan,nan,0.002500,False
0,Run 4,84,20,nan,nan,0.001000,False
0,Run 4,85,20,nan,nan,0.003500,False
