x_mm,run_label,threshold_pe,nearest_id,bin_center_ps,counts,counts_norm_per_ps,mean_ps,rms_ps,frac_excl,frac_overflow,n_in_range,n_overflow,n_below
-400,Run 3,4,31,905.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,915.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,925.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,935.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,945.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,955.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,965.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,975.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,985.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,995.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
0,Run 4,4,50,5.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,15.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,25.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,35.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,45.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,55.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,65.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,75.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,85.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,95.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,105.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,115.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,125.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,135.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,145.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,155.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,165.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,175.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,185.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,195.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,205.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,215.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,225.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,235.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,245.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,255.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,265.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,275.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,285.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,295.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,305.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,315.0,0,0.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,325.0,1,0.050000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,335.0,6,0.300000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,345.0,19,0.950000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,355.0,1386,69.300000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,365.0,54,2.700000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,375.0,23,1.150000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,385.0,27,1.350000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,395.0,21,1.050000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,405.0,32,1.600000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,415.0,30,1.500000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,425.0,40,2.000000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,435.0,41,2.050000,383.023,53.608,0.000000,0.000000,2000,0,0
0,Run 4,4,50,445.0,42,2.100000,383.023,53.608,0.000000,0.000000,2000,0,0
