x_mm,run_label,threshold_pe,nearest_id,bin_center_ps,counts,counts_norm,mean_ps,rms_ps,frac_excl,frac_overflow,n_in_range,n_overflow,n_below
-400,Run 3,4,31,765.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,775.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,785.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,795.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,805.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,815.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,825.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,835.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,845.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,855.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,865.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,875.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,885.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,895.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,905.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,915.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,925.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,935.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,945.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,955.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,965.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,975.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,985.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,995.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
0,Run 4,4,51,5.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,15.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,25.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,35.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,45.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,55.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,65.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,75.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,85.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,95.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,105.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,115.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,125.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,135.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,145.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,155.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,165.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,175.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,185.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,195.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,205.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,215.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,225.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,235.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,245.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,255.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,265.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,275.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,285.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,295.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,305.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,315.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,325.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,335.0,5,0.250000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,345.0,19,0.950000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,355.0,1354,67.700000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,365.0,58,2.900000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,375.0,15,0.750000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,385.0,20,1.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,395.0,27,1.350000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,405.0,30,1.500000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,415.0,30,1.500000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,425.0,35,1.750000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,435.0,40,2.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,445.0,35,1.750000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,455.0,34,1.700000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,465.0,30,1.500000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,475.0,38,1.900000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,485.0,23,1.150000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,495.0,29,1.450000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,505.0,29,1.450000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,515.0,29,1.450000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,525.0,21,1.050000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,535.0,11,0.550000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,545.0,19,0.950000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,555.0,13,0.650000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,565.0,7,0.350000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,575.0,7,0.350000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,585.0,6,0.300000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,595.0,6,0.300000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,605.0,20,1.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,615.0,7,0.350000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,625.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,635.0,1,0.050000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,645.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,655.0,1,0.050000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,665.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,675.0,1,0.050000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,685.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,695.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,705.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,715.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,725.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,735.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,745.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,755.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,765.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,775.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,785.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,795.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,805.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,815.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,825.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,835.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,845.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
0,Run 4,4,51,855.0,0,0.000000,388.607,62.415,0.000000,0.000000,2000,0,0
