event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,V2_encounters,V2_escaped,V5_incident,V5_matched,V5_expected_PDE_sum,SD_detected,SD_orphan,npe_left,npe_right
8449,36311.0,3.7447324300699036,0.060418094339348284,3.6843143357305554,35669,9259,14601.0,8956.0,8861.865310127167,9091.0,135.0,610,660
8450,18089.0,1.8608922837409443,0.030797624776298382,1.8300946589646458,17781,4519,7352.0,4485.0,4428.652162804554,4539.0,54.0,282,297
8451,15515.0,1.5958721214917053,0.026434049377012922,1.5694380721146923,15265,3984,6416.0,3884.0,3867.7960652298266,3954.0,70.0,257,256
8452,15073.0,1.5727707113961216,0.02551367894446291,1.5472570324516586,14808,3838,6257.0,3810.0,3769.415354255875,3871.0,61.0,239,250
8453,16573.0,1.6990938116867111,0.02784702152987292,1.6712467901568382,16286,4159,6862.0,4151.0,4145.131014672113,4232.0,81.0,268,275
8454,19850.0,2.021919883230139,0.03308227749761707,1.9888376057325217,19516,5016,8159.0,4936.0,4932.3824546001015,5016.0,80.0,355,327
8455,16202.0,1.6576578288789419,0.027248441763402312,1.6304093871155396,15937,4116,6607.0,3984.0,3989.964332509169,4056.0,72.0,261,243
8456,22533.0,2.3173403026479242,0.0378064545209017,2.2795338481270226,22152,5691,9085.0,5520.0,5494.803160176199,5602.0,82.0,355,358
8457,23242.0,2.384935537667034,0.03875667367017375,2.3461788639968604,22853,5872,9341.0,5674.0,5664.449238107471,5745.0,71.0,394,378
8458,17942.0,1.8542524459781895,0.030168801369219622,1.8240836446089699,17611,4494,7262.0,4401.0,4393.154830168553,4487.0,86.0,328,310
8459,16909.0,1.743872394669771,0.028515948328494942,1.715356446341276,16621,4163,7054.0,4236.0,4257.673260579755,4296.0,60.0,276,272
8460,14763.0,1.5317831418722723,0.024625253334369865,1.5071578885379024,14532,3781,6032.0,3580.0,3638.75179310958,3635.0,55.0,237,224
8461,16335.0,1.6711479129116846,0.02753128236732448,1.6436166305443602,16052,4107,6621.0,4025.0,3993.1447686434535,4096.0,71.0,269,267
8462,19372.0,2.004680164027457,0.03221788728466935,1.9724622767427875,19027,4960,7930.0,4745.0,4802.099273608889,4813.0,68.0,342,318
8463,17252.0,1.7919678091972213,0.029053354263050713,1.7629144549341706,16951,4348,7001.0,4279.0,4224.888292963249,4346.0,67.0,284,282
8464,16417.0,1.7115858067805747,0.027702185699805242,1.6838836210807695,16153,4106,6844.0,4123.0,4125.725977939911,4183.0,60.0,281,271
8465,15677.0,1.6244705285146148,0.026542911968007336,1.5979276165466074,15446,4040,6497.0,3960.0,3915.791298361208,4009.0,49.0,237,240
8466,15538.0,1.5941249665427362,0.026278966902824,1.5678459996399121,15264,3892,6421.0,3836.0,3861.6744744445405,3905.0,69.0,272,235
8467,18110.0,1.856593862985397,0.030540623928820888,1.8260532390565762,17823,4511,7444.0,4554.0,4507.284662238933,4623.0,69.0,309,280
8468,16421.0,1.6920934928098053,0.027677259583588798,1.6644162332262165,16163,4115,6833.0,4097.0,4125.267759646015,4148.0,51.0,271,278
8469,20384.0,2.0944807459063495,0.03418979599476328,2.060290949911586,20068,5261,8498.0,5133.0,5133.009642321982,5223.0,90.0,348,361
8470,18881.0,1.940360669304823,0.03189443028909025,1.9084662390157328,18540,4767,7746.0,4699.0,4674.728387587884,4772.0,73.0,314,312
8471,22779.0,2.374043011989635,0.037593931929193684,2.3364490800604414,22388,5836,9151.0,5499.0,5528.326756540517,5581.0,82.0,360,372
8472,22944.0,2.380190810344955,0.03823527577911276,2.3419555345658423,22552,5884,9285.0,5657.0,5613.2055663591345,5749.0,92.0,397,365
8473,16770.0,1.7294612992227898,0.028265079207651443,1.7011962200151383,16473,4264,6903.0,4222.0,4168.719265642683,4289.0,67.0,274,271
8474,15714.0,1.5945783746190456,0.026320257116184295,1.5682581175028614,15443,4040,6402.0,3813.0,3859.7324699441247,3862.0,49.0,244,249
8475,19363.0,2.0100207490701587,0.03233636354994288,1.9776843855202157,19015,4891,7959.0,4801.0,4813.0475718890075,4886.0,85.0,322,317
8476,16750.0,1.7406155706995696,0.0281108503669684,1.7125047203326011,16456,4257,6841.0,4084.0,4127.823417270608,4155.0,71.0,245,296
8477,15804.0,1.629494540624291,0.02699607028205394,1.6024984703422371,15519,4033,6488.0,3922.0,3911.7358261754785,3972.0,50.0,242,256
8478,20162.0,2.066367189211792,0.03359212686485835,2.032775062346934,19844,5033,8279.0,4952.0,5003.435634045574,5022.0,70.0,342,322
8479,15941.0,1.6412614101702676,0.026991855207129024,1.6142695549631385,15635,3984,6549.0,3971.0,3953.3807918039047,4034.0,63.0,246,274
8480,16285.0,1.6809108705470241,0.027535108106187412,1.6533757624408367,16027,4100,6683.0,4047.0,4039.242167774288,4108.0,61.0,273,269
8481,15182.0,1.5524606482472847,0.02555921176209298,1.5269014364851916,14904,3755,6309.0,3779.0,3805.4127756284665,3852.0,73.0,234,231
8482,14333.0,1.4771214447184222,0.024244522266693713,1.4528769224517286,14090,3561,6051.0,3638.0,3648.645139844445,3702.0,64.0,236,228
8483,17556.0,1.8159179682039834,0.029272560315358895,1.7866454078886245,17262,4483,7216.0,4326.0,4358.729229535812,4393.0,67.0,263,290
8484,14239.0,1.4873647375825265,0.02431277401288961,1.4630519635696368,14010,3610,5968.0,3603.0,3590.5261948618413,3663.0,60.0,251,238
8485,16998.0,1.75210214588366,0.02840928625080034,1.7236928596328598,16703,4296,6897.0,4179.0,4164.455496424268,4252.0,73.0,267,274
8486,17335.0,1.7907333582054654,0.029709954010762447,1.761023404194703,17051,4300,7127.0,4395.0,4302.291707839586,4459.0,64.0,270,273
8487,28610.0,2.9570460851271667,0.04776762345286778,2.909278461674299,28122,7192,11703.0,7031.0,7069.006707642495,7144.0,113.0,434,423
8488,16488.0,1.7061590449788073,0.02792112389020425,1.6782379210886031,16212,4150,6726.0,4081.0,4063.6828636822033,4147.0,66.0,294,294
8489,14934.0,1.552998572927371,0.024912919879451077,1.5280856530479199,14713,3890,6070.0,3547.0,3655.737484401254,3606.0,59.0,217,214
