cell_id,material,opsc_code,x_mm,scope,coordinate_definition,local_half_width_mm,tau_config_ns,tau_rise_config_ns,cut_multiplier,cut_ns,tail_photons,contributing_events,tau_fit_ns,se_event_ns,se_iid_photon_ns,relative_difference,is_gate_cut,gate_tolerance_relative,minimum_contributing_events,cut_pass
EJ204_xm650,EJ-204,OPSC-101,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,12.0,21.6,517,503,1.7363699998542454,0.07359982585029527,0.0744645898936332,-0.035350000080974775,False,,,
EJ204_xm650,EJ-204,OPSC-101,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,20.0,36.0,0,0,,,,,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,3.0,5.4,5147342,10000,2.0954067107859977,0.0009717377815238773,0.0009638890535765586,0.16411483932555426,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,4.0,7.2,2135962,10000,2.1733616945136696,0.001583072397270261,0.0015499065925385995,0.20742316361870528,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,5.0,9.0,916672,10000,2.2414270458334413,0.002459691971372276,0.0024487646453842157,0.24523724768524516,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,8.0,14.4,83150,9996,2.4757910212946794,0.009473552587432451,0.00931537087729473,0.3754394562748219,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,12.0,21.6,4838,3744,3.0979336997042055,0.05108878894779329,0.050209317609171474,0.7210742776134474,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,20.0,36.0,85,84,4.388187179523166,0.46409976506755984,0.46660902956844097,1.4378817664017591,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,3.0,5.4,3875466,10000,1.799979591000972,0.0009082288162198322,0.0009140975838679191,-1.133833279339432e-05,True,0.03,200,True
EJ204_xm500,EJ-204,OPSC-101,-500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,4.0,7.2,1426458,10000,1.799611270303011,0.0015143990410698919,0.0015051516876880544,-0.00021596094277172756,True,0.03,200,True
EJ204_xm500,EJ-204,OPSC-101,-500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,5.0,9.0,525429,10000,1.7960199693112753,0.002462734305017166,0.0024771838425683185,-0.0022111281604026483,True,0.03,200,True
EJ204_xm500,EJ-204,OPSC-101,-500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,8.0,14.4,26027,9243,1.7903560675864627,0.011051078757168516,0.011129554864227178,-0.005357740229742965,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,12.0,21.6,477,471,1.8134700139209496,0.0803585573495763,0.08122593584657144,0.007483341067194221,False,,,
EJ204_xm500,EJ-204,OPSC-101,-500,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,20.0,36.0,0,0,,,,,False,,,
EJ204_xm200,EJ-204,OPSC-101,-200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,3.0,5.4,5050388,10000,2.118739709669576,0.001004722719834967,0.0009760221324586096,0.17707761648309783,False,,,
EJ204_xm200,EJ-204,OPSC-101,-200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,4.0,7.2,2125289,10000,2.1794040978649507,0.0015826764633858946,0.0015487390931039882,0.21078005436941702,False,,,
EJ204_xm200,EJ-204,OPSC-101,-200,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,5.0,9.0,916987,10000,2.2333980381410923,0.002444107609474083,0.002432532225390119,0.24077668785616235,False,,,
