replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
20,29.3985,1491.83,1,8.31346,37.6862,2243.99,397.857,86.3897,1,21.6574,13.0063,665.199,1,36.7939,93.0594,1
21,28.2259,2168.13,1,8.37128,36.9521,2115.31,418.688,95.7661,1,19.3164,15.5292,994.13,1,36.7971,94.5361,1
22,27.7375,2011.27,1,10.1479,40.0716,1839.45,337.657,47.0432,1,20.0304,13.8116,687.708,1,38.5581,54.5209,1
23,29.2339,1934.39,1,8.60034,37.7842,2136.38,392.99,71.2563,1,19.588,15.6393,779.077,1,36.3117,79.3211,1
24,28.5055,2098.06,1,7.96842,38.0318,2181.58,395.916,83.6161,1,20.1091,13.3102,706.471,1,37.5263,70.1211,1
25,24.9074,2489.88,1,9.41861,39.5941,1917.95,356.008,45.3029,1,19.4208,13.243,883.608,1,38.0153,102.02,1
26,31.606,1567.67,1,8.83362,39.5985,2224.71,355.053,86.8894,1,22.3231,11.0747,678.959,1,39.001,71.9827,1
27,30.013,2199.86,1,8.56246,38.4838,2235.55,382.287,72.5469,1,20.0869,13.6075,1069.02,1,37.7956,75.5081,1
28,32.6979,1531.1,1,9.7563,40.5914,2206.85,329.302,64.3626,1,22.2376,11.238,842.739,1,38.3328,85.9443,1
29,29.8199,2178.66,1,10.1288,40.5713,1871.69,332.543,20.0467,1,19.9424,12.9666,678.71,1,38.9663,42.125,1
30,29.6373,2190.32,1,8.80922,38.9094,2136,369.814,86.4786,1,20.092,13.4723,961.792,1,40.0052,21.279,1
31,29.711,2203.58,1,8.29669,37.9526,2177.51,402.545,89.4287,1,19.9272,13.0955,986.665,1,38.0943,84.6643,1
32,29.3511,2153.75,1,9.2753,39.3416,2034.03,358.605,95.7498,1,20.5187,12.8927,971.043,1,39.1008,50.794,1
33,32.7995,1090.92,1,9.10444,39.4754,2469.98,352.217,48.2924,1,23.7925,10.9177,642.659,1,38.5625,65.8558,1
34,27.9941,1830.36,1,9.89799,39.6382,1806.1,348.286,40.2795,1,20.6404,13.1071,630.03,1,37.9032,69.9507,1
35,27.3592,3060.17,1,8.15176,38.2508,2199.43,393.197,123.057,1,18.5386,13.8062,1297.47,1,37.846,103.076,1
36,26.0725,2533.56,1,7.99185,37.8257,2275.47,394.02,118.383,1,19.862,13.9954,1250.76,1,39.7119,40.8722,1
37,32.1915,1418.26,1,10.5426,41.1748,1780.72,319.264,55.4565,1,22.3216,10.7743,540.763,1,38.9037,96.0521,1
