replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
65,26.6251,3154.37,1,9.31213,39.4072,2043.51,357.76,110.674,1,18.5272,14.142,1288.71,1,37.7958,121.334,1
66,30.7077,752.65,1,12.3865,42.8054,1405.29,282.191,10.4259,1,23.6535,10.9752,249.732,1,37.1311,78.0597,1
67,26.6345,2395.87,1,7.554,35.7955,2354.14,449.863,88.5299,1,18.8846,16.9145,1196.33,1,37.0759,49.5865,1
68,28.4794,2682.14,1,8.836,39.3965,2150.77,360.049,94.7142,1,19.5151,13.288,1073.93,1,38.9512,80.247,1
69,29.6549,1904.05,1,9.96734,40.2554,1923.45,338.345,30.1559,1,20.6605,12.9937,808.213,1,38.9511,42.5221,1
70,30.4894,1572.12,1,10.0047,40.9522,1903.35,322.986,38.8431,1,21.9486,11.5398,713.354,1,40.2413,39.2824,1
71,29.582,1748.75,1,8.45865,36.986,2123.11,420.303,88.2889,1,19.8896,15.067,847.91,1,36.7159,78.2096,1
72,28.3376,1221.17,1,9.58457,38.254,1829.14,375.823,50.3974,1,21.5494,13.6711,521.603,1,36.0633,84.0417,1
73,31.1281,2105.61,1,8.67291,39.5655,2169.96,358.99,83.9402,1,20.5931,11.9492,748.337,1,38.8099,67.9412,1
74,31.1301,1498.72,1,10.0834,40.9517,1831.77,326.862,48.7721,1,22.4471,10.5993,533.734,1,39.6115,59.0029,1
75,30.3888,1286.55,1,9.54709,39.1546,1880.91,362.709,43.4798,1,21.5389,12.8261,470.269,1,38.7786,38.3807,1
76,30.8091,1026.32,1,10.6754,39.8619,1673.45,340.438,27.0933,1,21.7469,13.4579,397.35,1,36.5289,83.436,1
77,26.8234,3440.21,1,8.97186,38.6959,2062.87,380.846,102.667,1,17.4387,14.7976,1195.41,1,37.9294,81.2994,1
78,32.8822,1193.01,1,11.3892,42.0877,1679.71,298.878,22.4646,1,22.1821,11.5273,467.438,1,38.0931,97.7413,1
79,29.5288,1826.63,1,11.4289,41.8526,1603.14,304.034,27.3405,1,20.4926,12.5599,576.93,1,37.8293,94.2733,1
80,29.6809,2156.22,1,8.49685,37.756,2070.14,404.208,100.868,1,19.5061,14.0991,805.566,1,38.0407,53.9651,1
81,29.0897,3471.3,1,8.71926,38.7071,2206.47,388.434,115.937,1,17.0686,13.5117,1284.91,1,38.3928,86.5978,1
82,29.0356,1797.51,1,9.32663,40.4976,2099.38,330.79,97.7,1,22.4849,10.8977,919.579,1,39.4915,85.847,1
83,27.9055,1942.85,1,9.97376,39.675,1855.06,346.505,45.2733,1,20.1164,14.492,799.963,1,37.3654,80.4332,1
84,30.7549,1771.83,1,8.98711,39.2793,2179.75,359.936,78.6588,1,21.1149,12.653,803.794,1,38.2411,65.9199,1
85,30.5426,1244.34,1,10.4284,40.8912,1835.99,322.651,45.7871,1,22.6956,11.0359,537.555,1,38.302,88.8671,1
86,25.2695,2715.4,1,7.6754,35.8672,2226.5,450.481,125.546,1,18.4114,16.3155,1301.31,1,36.9477,85.4551,1
87,30.5504,2489.76,1,8.9005,39.272,2184.42,364.385,91.7741,1,19.465,13.2331,1041.78,1,38.727,73.0701,1
88,26.4536,1888.57,1,9.27047,38.77,1912.2,369.829,58.9465,1,20.3852,13.6089,722.723,1,37.9925,66.6671,1
89,29.3463,2568.93,1,8.76503,38.3689,2066.24,388.235,131.028,1,19.3647,13.1421,1093.55,1,38.3444,131.315,1
90,24.3902,3666.21,1,8.05732,37.838,2201.14,401.1,109.099,1,17.2796,15.559,1343.03,1,37.6911,73.4373,1
91,29.2808,2535.69,1,8.18693,38.2048,2307.63,389.826,107.694,1,19.6856,13.634,1160.48,1,37.7747,76.5774,1
92,27.4188,1828.47,1,8.95279,38.3111,2040.95,377.989,99.8053,1,20.7784,13.9888,863.533,1,38.0335,65.9079,1
93,27.3751,1872.33,1,9.38825,40.2508,1971.95,338.408,62.3041,1,21.3809,11.649,693.25,1,39.1858,84.8248,1
94,29.8939,2874.03,1,7.75954,37.372,2483.27,416.649,97.1334,1,18.3969,14.2793,1336.71,1,37.7985,70.1494,1
95,30.8996,1822.21,1,8.98281,39.0772,2157.49,369.407,81.8315,1,21.1887,12.3457,866.867,1,38.1489,73.3762,1
96,27.9558,2263.17,1,8.45374,37.837,2394.86,390.073,70.6033,1,19.8271,15.0262,1249.24,1,36.939,74.1978,1
97,30.1367,1628.89,1,9.24913,39.0301,2170.37,362.719,72.014,1,21.3189,13.2166,853.339,1,36.9119,90.3975,1
98,27.3433,2671.47,1,8.04239,40.4481,2457.38,334.971,91.0882,1,20.1565,12.1302,1422.13,1,43.2563,6.81537,1
99,27.2587,1728.96,1,9.02944,38.005,2057.91,381.244,37.3055,1,20.0669,16.1778,881.218,1,37.9357,31.3627,1
100,30.7981,1657.54,1,8.74564,38.7875,2137.47,371.509,109.552,1,21.7489,11.9918,770.691,1,38.4283,82.6159,1
101,33.2674,1189.58,1,9.23272,40.1762,2484.33,341.13,50.2521,1,23.9752,10.1305,670.54,1,38.8869,86.0806,1
102,33.1255,1065.18,1,9.76774,39.9312,1954.11,344.452,44.3383,1,22.8372,11.1675,491.863,1,37.7831,78.2521,1
103,31.9509,761.328,1,12.0783,42.9415,1443.76,281.608,11.8067,1,24.4604,9.76596,229.644,1,40.1358,37.9284,1
104,31.6618,1534.6,1,10.2832,41.113,1797.5,321.862,51.8783,1,21.747,11.2156,542.182,1,39.2327,73.919,1
105,30.5824,1539.68,1,9.59061,40.3794,1978.39,336.53,28.3485,1,21.8806,11.6857,601.642,1,39.2552,41.0813,1
106,27.0916,2836.04,1,8.13194,38.4819,2237.15,383.037,130.09,1,19.5164,13.351,1160.84,1,39.2105,54.8309,1
107,32.3399,2256.77,1,10.0382,40.8714,2024.33,328.492,50.5925,1,19.2543,12.4958,827.365,1,38.7046,74.2053,1
108,26.4199,1925.97,1,8.88364,38.2352,2052.56,381.859,46.5534,1,20.1349,14.588,855.898,1,37.7449,48.0651,1
109,31.4929,1629.64,1,10.1397,40.3321,1871.23,335.786,37.9219,1,20.5745,13.0573,682.374,1,38.497,63.8211,1
110,27.0385,2429.04,1,8.77021,39.3537,2107.11,358.117,108.756,1,20.5054,12.4785,1100.68,1,39.1886,92.1331,1
111,29.7457,2004.36,1,9.47139,39.4222,2061.24,355.104,86.1497,1,20.2556,13.8626,1041.44,1,39.2126,55.7962,1
112,34.3252,1050.63,1,10.4104,41.3885,1920.61,318.171,40.2436,1,23.6364,9.91302,507.08,1,38.9772,82.4878,1
113,28.3079,2802.18,1,8.33383,38.1448,2046.77,401.543,111.162,1,18.8894,13.0515,886.647,1,37.8898,100.996,1
114,29.8886,1956.11,1,10.0022,40.4598,1848.29,335.938,45.6737,1,20.709,12.1172,617.917,1,38.774,72.4722,1
115,29.5879,2204.89,1,9.53128,39.6741,1900.67,356.372,46.1973,1,20.0623,12.6429,732.444,1,38.0874,79.862,1
116,30.2469,2201.71,1,9.40652,39.9068,2098.72,346.707,100.576,1,20.3198,12.8232,1144.9,1,38.8381,87.6849,1
117,29.8561,2546.5,1,9.37793,39.348,2027.34,364.34,114.749,1,19.1896,13.0937,1114.84,1,38.314,103.235,1
118,29.8013,2653.76,1,9.18492,38.9961,2073.87,371.616,88.4303,1,18.4368,14.325,1013.04,1,38.2191,67.7573,1
119,28.1406,3011.37,1,8.58271,37.9042,2120.81,406.553,130.449,1,16.8248,14.7192,1338.28,1,38.8407,78.2872,1
120,29.2025,3002.05,1,8.1212,38.5297,2298,385.056,115.821,1,18.8866,13.3456,1197.06,1,39.1748,59.53,1
121,28.4638,1993.18,1,10.3055,39.8713,1757.94,342.227,32.1555,1,19.3451,15.3533,744.161,1,37.8434,68.5534,1
122,29.9085,2385.74,1,10.3504,41.32,1954.72,315.245,41.928,1,19.6858,13.0861,987.828,1,39.6127,81.5616,1
123,30.9283,2541.78,1,8.7853,38.3641,2309.8,382.927,98.8989,1,18.1545,15.1675,1173.35,1,37.6417,76.2571,1
124,30.4763,2008.73,1,8.75623,38.7287,2090.18,380.241,89.4186,1,19.9609,13.1768,815.935,1,38.0994,63.0866,1
125,28.0846,2179.91,1,10.42,41.3603,1786.86,316.259,43.265,1,20.6444,11.5902,580.472,1,39.089,93.6064,1
126,32.3091,2018.51,1,10.0416,40.9923,1927.93,325.752,57.6045,1,20.1945,11.8309,647.661,1,39.7267,54.3243,1
127,31.139,2727.3,1,8.93434,38.9666,2096.4,378.713,89.2414,1,18.0783,13.3027,930.874,1,37.8146,82.741,1
128,28.7963,2232.03,1,10.0627,39.9827,1882.66,340.577,42.0889,1,19.5276,14.2376,887.084,1,37.6649,80.5184,1
129,27.2854,2141.07,1,8.31608,37.2432,2111.25,407.868,113.993,1,20.0272,14.5587,968.443,1,37.7684,81.8547,1
130,28.8574,2020.85,1,10.7268,41.8016,1784.89,303.836,28.7473,1,20.6169,12.7363,760.456,1,39.0053,74.9388,1
131,26.0066,2790.43,1,9.57143,39.1659,1930.15,362.711,70.0442,1,18.3841,14.8628,1051.72,1,37.3371,113.612,1
132,31.4829,1146.54,1,11.0256,41.5701,1702.24,307.329,22.4777,1,22.7586,11.3373,471.949,1,38.4788,66.7146,1
133,30.4826,1422.4,1,9.16811,39.0496,1946.91,366.93,49.0559,1,21.6692,12.1303,454.2,1,37.7706,77.7971,1
134,30.8792,1788.73,1,10.0956,40.4756,1854.6,335.204,48.3624,1,21.1539,12.0391,725.58,1,38.2493,85.1275,1
135,29.2501,2038.26,1,8.10164,39.722,2267.19,351.352,77.0015,1,20.7344,11.9737,661.583,1,39.1738,64.4157,1
136,28.5713,2484.27,1,9.14804,39.2021,2080.56,364.529,98.2534,1,19.4004,13.6047,1167.75,1,38.0258,129.077,1
137,28.7394,2169.59,1,8.77713,38.4636,2106.06,380.586,117.505,1,20.6219,12.7732,990.77,1,38.6863,81.1296,1
138,29.2349,3342.08,1,9.41006,40.0485,2230.48,348.088,103.978,1,17.6147,13.7546,1448.04,1,38.4866,132.146,1
139,32.0067,687.886,1,12.3862,43.1168,1396.03,278.933,14.8754,1,24.831,9.58987,236.285,1,37.8397,89.6002,1
140,26.7402,3950.03,1,8.84142,39.0861,2338.92,367.369,74.361,1,16.6442,15.7078,1260.06,1,38.2941,47.7954,1
141,27.88,2466.76,1,8.35037,38.08,2248.45,401.545,110.856,1,19.225,13.3809,1217.08,1,38.6362,60.3928,1
142,30.7964,1767.36,1,9.65023,40.7618,2019.48,330.135,57.5048,1,22.1216,10.8398,736.341,1,40.6322,43.7901,1
143,28.7745,2851.66,1,9.47327,39.9707,2106.15,344.17,82.595,1,18.6531,14.2887,1300.38,1,38.2783,92.6169,1
144,29.3944,738.18,1,11.4663,40.3825,1434.93,325.116,7.77897,1,21.7438,14.8985,227.2,1,36.5558,45.3333,1
145,28.7004,1748.16,1,7.58531,35.9307,2263.87,455.739,74.369,1,19.3131,15.7489,656.412,1,36.1244,55.1351,1
146,26.8568,2875.2,1,8.46818,37.1713,2090.77,411.95,98.5887,1,17.9684,16.461,1134.35,1,36.6552,90.511,1
147,30.468,2751.65,1,9.41682,40.2758,2028.65,346.699,59.946,1,19.3145,11.9252,914.423,1,38.1616,122.245,1
148,29.2344,1816.11,1,10.1092,39.7249,1818.05,345.772,24.4462,1,20.126,14.5056,729.251,1,36.9691,80.1173,1
149,32.8137,771.176,1,10.8176,40.8387,1761.31,319.581,24.3366,1,23.5648,11.666,422.409,1,35.9827,79.5657,1
150,27.5346,1649.19,1,9.76893,38.6542,1824.53,365.95,23.2857,1,19.9075,16.1705,673.749,1,36.8787,49.937,1
