x_true_mm,method,mean_x_rec,bias,sigma_core,rms,rms68,median,mad_sigma,fraction_outside_2sigma,fraction_outside_3sigma,valid_fraction
350.0,dt_end_weighted,333.14068205513814,-16.8593179448618,29.425683339374444,35.16032989013181,29.425683339374444,330.81441278777316,28.8319519094149,0.0485,0.011,1.0
350.0,R_end,320.86912743156904,-29.130872568430945,19.210306429700694,35.31709811420855,19.210306429700694,320.2939909622902,19.239783691763595,0.054,0.005,1.0
350.0,A_end,437.68338234343224,87.6833823434322,14.887628692080952,89.0344991036973,14.887628692080952,437.92510006837244,14.809186375605426,0.057,0.006,1.0
350.0,x_top_centroid_raw,372.94728938619596,22.947289386195976,3.9953558246194465,23.294593518767652,3.9953558246194465,372.9954357311955,3.953592266016285,0.0455,0.002,1.0
350.0,local_R,345.7566504824373,-4.243349517562701,3.02029460636693,5.363176640896115,3.02029460636693,345.67898089621735,3.043997776496988,0.06,0.0125,1.0
400.0,dt_end_pool,392.8310690973732,-7.168930902626817,19.2243193738393,21.519480590561468,19.2243193738393,391.9951312699179,19.478710169992656,0.0625,0.006,1.0
400.0,dt_end_weighted,386.4405096481334,-13.55949035186659,35.35603573376732,39.64923418299798,35.35603573376732,382.8285140578039,34.65778190647255,0.0575,0.011,1.0
400.0,R_end,371.22596298624256,-28.774037013757457,20.580064938197687,36.14592948997606,20.580064938197687,370.93701766334766,21.06353748191259,0.0575,0.009,1.0
400.0,A_end,471.69440850398456,71.69440850398452,12.611834002290884,72.98069218020568,12.611834002290884,472.2253662474241,12.954631428821022,0.052,0.0065,1.0
400.0,x_top_centroid_raw,423.108418944718,23.108418944717993,4.059507756436679,23.861216758856038,4.059507756436679,423.15194124479285,4.086943099753531,0.0525,0.005,1.0
400.0,local_R,402.1081394863164,2.10813948631641,2.8649168101014233,3.6473994800533163,2.8649168101014233,402.0918779713352,2.8912265631559166,0.054,0.0075,1.0
450.0,dt_end_pool,442.94602920133883,-7.053970798661203,20.474463639264037,22.211852808722014,20.474463639264037,441.86738948256493,20.635908682926804,0.051,0.0065,1.0
450.0,dt_end_weighted,439.17970114222413,-10.820298857775828,41.61859928774889,45.46273359745595,41.61859928774889,434.21064251922166,40.73799553256305,0.0525,0.0115,1.0
450.0,R_end,423.2463133895008,-26.753686610499187,22.134751363183533,35.04724966995326,22.134751363183533,421.8807000145704,22.21950776370294,0.052,0.004,1.0
450.0,A_end,498.3257456750477,48.325745675047656,10.470366183291453,49.47312534133708,10.470366183291453,498.2924325140475,10.588415526352328,0.051,0.0035,1.0
450.0,x_top_centroid_raw,472.65942234974216,22.659422349742155,4.209471851529841,23.038690278726765,4.209471851529841,472.65161271173463,4.192562496682692,0.0405,0.0035,1.0
450.0,local_R,445.729899718364,-4.270100281635994,2.971310604100109,5.393090219970248,2.971310604100109,445.7237609451772,2.967740688115874,0.065,0.01,1.0
500.0,dt_end_pool,495.49224941323,-4.507750586770026,22.169064297024523,22.857632950068666,22.169064297024523,494.3680071324043,21.365592122141376,0.0455,0.008,1.0
500.0,dt_end_weighted,494.28359842086917,-5.716401579130846,46.426880517573224,49.73491984992335,46.426880517573224,489.6123092961401,46.76321104831647,0.0565,0.013,1.0
500.0,R_end,476.8999737673026,-23.100026232697417,22.949999152466575,32.61939572276041,22.949999152466575,475.99723761318086,22.997344269482713,0.037,0.004,1.0
500.0,A_end,518.231084984974,18.23108498497396,8.185215086200426,19.978647476568334,8.185215086200426,518.410563282243,8.21698744803247,0.039,0.003,1.0
500.0,x_top_centroid_raw,520.1988034382549,20.198803438254924,4.156834482138567,20.650601973272682,4.156834482138567,520.2329030999407,4.305402841125882,0.0565,0.003,1.0
500.0,local_R,502.2189005338316,2.218900533831574,3.010813800125446,3.7475521788085158,3.010813800125446,502.2603995138237,2.9853805140963776,0.0465,0.0025,1.0
550.0,dt_end_pool,547.3900292805231,-2.6099707194769217,23.05847424313898,24.229562425955283,23.05847424313898,545.509677436183,24.160104691381306,0.057,0.008,1.0
