test_x,method,coefficients,train_positions
-250.0,x_top_centroid_raw,"[1.2338174825543327, -0.5729863552945149]",30
-250.0,local_R,"[40.00382121422448, 0.16388885162131034]",30
-200.0,dt_end_pool,"[126.5249672732293, 0.1781098473767465]",30
-200.0,dt_end_weighted,"[91.22761888901638, 0.7885802172003524]",30
-200.0,R_end,"[-167.09337826366118, 0.48563374847247065]",30
-200.0,A_end,"[-582.8763407459853, -3.188574505626159]",30
-200.0,x_top_centroid_raw,"[1.2334602656786313, -0.4581307244515958]",30
-200.0,local_R,"[41.22735275456758, -0.05144216133768242]",30
-150.0,dt_end_pool,"[126.53239737201562, 0.15791155887793126]",30
-150.0,dt_end_weighted,"[91.2404460134427, 0.7497494296582172]",30
-150.0,R_end,"[-167.1242027148913, 0.41952324243125155]",30
-150.0,A_end,"[-581.8408433630284, -2.604180681525157]",30
-150.0,x_top_centroid_raw,"[1.2332028187413433, -0.3622062871469959]",30
-150.0,local_R,"[40.05813452188072, 0.1661725830594973]",30
-100.0,dt_end_pool,"[126.54002363569134, 0.11306413696529162]",30
-100.0,dt_end_weighted,"[91.25476303552676, 0.6250827670028806]",30
-100.0,R_end,"[-167.15074853668148, 0.33402211358677464]",30
-100.0,A_end,"[-580.909427513972, -1.8043543316752177]",30
-100.0,x_top_centroid_raw,"[1.2329942891014112, -0.2443728434085998]",30
-100.0,local_R,"[41.31417236499128, -0.05017969577221115]",30
-50.0,dt_end_pool,"[126.54479330398351, 0.0674163246328985]",30
-50.0,dt_end_weighted,"[91.26403137054157, 0.4775826859358751]",30
-50.0,R_end,"[-167.1754829167478, 0.08229318350926537]",30
-50.0,A_end,"[-580.3790850743889, -1.1143237415849856]",30
-50.0,x_top_centroid_raw,"[1.2328601390955225, -0.10803435120578171]",30
-50.0,local_R,"[40.09003337782846, 0.1635156499090911]",30
0.0,dt_end_pool,"[126.5466316215993, 0.019709905203039058]",30
0.0,dt_end_weighted,"[91.26689013877753, 0.35118805464363345]",30
0.0,R_end,"[-167.18123058147285, -0.048878360982296296]",30
0.0,A_end,"[-580.1452673383711, -0.13922407515737006]",30
0.0,x_top_centroid_raw,"[1.2328209168858593, 0.013428437800600587]",30
0.0,local_R,"[40.580792480634024, 0.02136498375275393]",30
50.0,dt_end_pool,"[126.54524008556918, -0.03345643518650878]",30
50.0,dt_end_weighted,"[91.26468138827931, 0.24878306823571641]",30
50.0,R_end,"[-167.17666425633738, -0.17341129320178092]",30
50.0,A_end,"[-580.396189334974, 0.845980300891705]",30
50.0,x_top_centroid_raw,"[1.2328609964969635, 0.12227442516411433]",30
50.0,local_R,"[40.085019582893125, -0.11903348195201295]",30
100.0,dt_end_pool,"[126.54036866111771, -0.08795338618230811]",30
