frame,frametitle,include_exact,relative_path,expected_absolute,exists,size_bytes,extension,valid,validation,sha256,possible_generator,classification,search_candidates
22,Run 5 $|$ x = +400 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_400mm.png}",figs/exec11_arrival_400mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_400mm.png,True,208226,.png,True,Pillow:PNG,977e0cf85f27d01d89cb1746c11828ab1b6001f2d7f01b84b4ae11b2ab9d4c3c,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_400mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_400mm.png
23,Run 5 $|$ x = +400 mm $|$ Time-to-threshold $t_N$,"\includegraphics[width=\textwidth,height=0.84\textheight,keepaspectratio]{figs/exec13_tN_400mm.png}",figs/exec13_tN_400mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tN_400mm.png,True,225911,.png,True,Pillow:PNG,de189a375d099d0b8fc5e3dcc4146de46effc4d9b498b2d2db92efe4b366406f,analysis/exec13/exec13_tN_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tN_400mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tN_400mm.png
24,Run 5 $|$ x = +400 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
24,Run 5 $|$ x = +400 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
24,Run 5 $|$ x = +400 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
25,Position x=650 mm,\includegraphics[width=\textwidth]{figs/muon_650mm_geometry.png},figs/muon_650mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_650mm_geometry.png,True,86380,.png,True,Pillow:PNG,eee428baaf326ab54f6af7528828de722b2000ca1802222896141d31a37714fa,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_650mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_650mm_geometry.png
25,Position x=650 mm,\includegraphics[width=\textwidth]{figs/muon_650mm_top_profile.png},figs/muon_650mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_650mm_top_profile.png,True,118119,.png,True,Pillow:PNG,15b565b055df9d06ed855160cd2b25143fd16647e6a009c362802b3a726e17e3,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_650mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_650mm_top_profile.png
26,Run 6 $|$ x = +650 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_650mm.png}",figs/exec11_arrival_650mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_650mm.png,True,214913,.png,True,Pillow:PNG,e22d521df7946d598e70c56054ed54c89a6389ed25b82376519afb39376df856,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_650mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_650mm.png
27,Run 6 $|$ x = +650 mm $|$ Time-to-threshold $t_N$,"\includegraphics[width=\textwidth,height=0.84\textheight,keepaspectratio]{figs/exec13_tN_650mm.png}",figs/exec13_tN_650mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tN_650mm.png,True,218765,.png,True,Pillow:PNG,534775c79149404ddad12342659dc1eef8f09a992a3e2a46ebb0773f644433a4,analysis/exec13/exec13_tN_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tN_650mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tN_650mm.png
28,Run 6 $|$ x = +650 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
