material_code,material,variable,selection_code,selection,bin_low,bin_high,bin_center,count,density
0,EJ-200,rho_detour,0,first,1.40157336545,1.46850225969,1.43503781257,0,0
0,EJ-200,rho_detour,0,first,1.46850225969,1.53543115393,1.50196670681,0,0
0,EJ-200,rho_detour,0,first,1.53543115393,1.60236004817,1.56889560105,0,0
0,EJ-200,rho_detour,0,first,1.60236004817,1.66928894242,1.63582449529,0,0
0,EJ-200,rho_detour,0,first,1.66928894242,1.73621783666,1.70275338954,0,0
0,EJ-200,rho_detour,0,first,1.73621783666,1.8031467309,1.76968228378,0,0
0,EJ-200,rho_detour,0,first,1.8031467309,1.87007562514,1.83661117802,0,0
0,EJ-200,rho_detour,0,first,1.87007562514,1.93700451938,1.90354007226,0,0
0,EJ-200,rho_detour,0,first,1.93700451938,2.00393341362,1.9704689665,0,0
0,EJ-200,rho_detour,0,first,2.00393341362,2.07086230786,2.03739786074,0,0
0,EJ-200,rho_detour,0,first,2.07086230786,2.13779120211,2.10432675499,0,0
0,EJ-200,rho_detour,0,first,2.13779120211,2.20472009635,2.17125564923,0,0
0,EJ-200,rho_detour,0,first,2.20472009635,2.27164899059,2.23818454347,0,0
0,EJ-200,rho_detour,0,first,2.27164899059,2.33857788483,2.30511343771,0,0
0,EJ-200,rho_detour,0,first,2.33857788483,2.40550677907,2.37204233195,0,0
0,EJ-200,rho_detour,0,first,2.40550677907,2.47243567331,2.43897122619,0,0
0,EJ-200,rho_detour,0,first,2.47243567331,2.53936456756,2.50590012043,0,0
0,EJ-200,rho_detour,0,first,2.53936456756,2.6062934618,2.57282901468,0,0
0,EJ-200,rho_detour,0,first,2.6062934618,2.67322235604,2.63975790892,0,0
0,EJ-200,rho_detour,0,first,2.67322235604,2.74015125028,2.70668680316,0,0
0,EJ-200,rho_detour,0,first,2.74015125028,2.80708014452,2.7736156974,0,0
0,EJ-200,rho_detour,0,first,2.80708014452,2.87400903876,2.84054459164,0,0
0,EJ-200,rho_detour,0,first,2.87400903876,2.940937933,2.90747348588,0,0
0,EJ-200,rho_detour,0,first,2.940937933,3.00786682725,2.97440238013,0,0
0,EJ-200,rho_detour,0,first,3.00786682725,3.07479572149,3.04133127437,0,0
0,EJ-200,rho_detour,0,first,3.07479572149,3.14172461573,3.10826016861,0,0
0,EJ-200,rho_detour,0,first,3.14172461573,3.20865350997,3.17518906285,0,0
0,EJ-200,rho_detour,0,first,3.20865350997,3.27558240421,3.24211795709,0,0
0,EJ-200,rho_detour,0,first,3.27558240421,3.34251129845,3.30904685133,0,0
0,EJ-200,rho_detour,0,first,3.34251129845,3.4094401927,3.37597574557,0,0
0,EJ-200,rho_detour,0,first,3.4094401927,3.47636908694,3.44290463982,0,0
0,EJ-200,rho_detour,0,first,3.47636908694,3.54329798118,3.50983353406,0,0
0,EJ-200,rho_detour,0,first,3.54329798118,3.61022687542,3.5767624283,0,0
0,EJ-200,rho_detour,0,first,3.61022687542,3.67715576966,3.64369132254,0,0
0,EJ-200,rho_detour,0,first,3.67715576966,3.7440846639,3.71062021678,0,0
0,EJ-200,rho_detour,0,first,3.7440846639,3.81101355814,3.77754911102,0,0
0,EJ-200,rho_detour,0,first,3.81101355814,3.87794245239,3.84447800527,0,0
0,EJ-200,rho_detour,0,first,3.87794245239,3.94487134663,3.91140689951,0,0
0,EJ-200,rho_detour,0,first,3.94487134663,4.01180024087,3.97833579375,0,0
0,EJ-200,rho_detour,0,first,4.01180024087,4.07872913511,4.04526468799,0,0
0,EJ-200,rho_detour,0,first,4.07872913511,4.14565802935,4.11219358223,0,0
0,EJ-200,rho_detour,0,first,4.14565802935,4.21258692359,4.17912247647,0,0
0,EJ-200,rho_detour,0,first,4.21258692359,4.27951581783,4.24605137071,0,0
0,EJ-200,rho_detour,0,first,4.27951581783,4.34644471208,4.31298026496,0,0
0,EJ-200,rho_detour,0,first,4.34644471208,4.41337360632,4.3799091592,0,0
0,EJ-200,rho_detour,0,first,4.41337360632,4.48030250056,4.44683805344,0,0
0,EJ-200,rho_detour,0,first,4.48030250056,4.5472313948,4.51376694768,0,0
0,EJ-200,rho_detour,0,first,4.5472313948,4.61416028904,4.58069584192,0,0
0,EJ-200,rho_detour,0,first,4.61416028904,4.68108918328,4.64762473616,0,0
0,EJ-200,rho_detour,0,first,4.68108918328,4.74801807753,4.7145536304,0,0
0,EJ-200,rho_detour,0,first,4.74801807753,4.81494697177,4.78148252465,0,0
