material_code,material,gun_x_mm,face_type,source_type,source,bin_low_ns,bin_high_ns,bin_center_ns,count,density
0,EJ-200,-650,0,1,scintillation,0.529714698483,0.530476895244,0.530095796864,12,6.07875140633
0,EJ-200,-650,0,1,scintillation,0.530476895244,0.531239092006,0.530857993625,9,4.55906355475
0,EJ-200,-650,0,1,scintillation,0.531239092006,0.532001288767,0.531620190386,5,2.53281308597
0,EJ-200,-650,0,1,scintillation,0.532001288767,0.532763485528,0.532382387147,1,0.506562617194
0,EJ-200,-650,0,1,scintillation,0.532763485528,0.533525682289,0.533144583908,4,2.02625046878
0,EJ-200,-650,0,1,scintillation,0.533525682289,0.53428787905,0.533906780669,0,0
0,EJ-200,-650,0,1,scintillation,0.53428787905,0.535050075811,0.53466897743,0,0
0,EJ-200,-650,0,1,scintillation,0.535050075811,0.535812272572,0.535431174191,0,0
0,EJ-200,-650,0,1,scintillation,0.535812272572,0.536574469333,0.536193370952,1,0.506562617194
0,EJ-200,-650,0,1,scintillation,0.536574469333,0.537336666094,0.536955567713,0,0
0,EJ-200,-650,0,1,scintillation,0.537336666094,0.538098862855,0.537717764475,0,0
0,EJ-200,-650,0,2,Cherenkov,0.446635251528,0.447397448289,0.447016349908,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.447397448289,0.44815964505,0.447778546669,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.44815964505,0.448921841811,0.44854074343,5,0.885288244624
0,EJ-200,-650,0,2,Cherenkov,0.448921841811,0.449684038572,0.449302940191,6,1.06234589355
0,EJ-200,-650,0,2,Cherenkov,0.449684038572,0.450446235333,0.450065136952,5,0.885288244624
0,EJ-200,-650,0,2,Cherenkov,0.450446235333,0.451208432094,0.450827333713,6,1.06234589355
0,EJ-200,-650,0,2,Cherenkov,0.451208432094,0.451970628855,0.451589530475,12,2.1246917871
0,EJ-200,-650,0,2,Cherenkov,0.451970628855,0.452732825616,0.452351727236,9,1.59351884032
0,EJ-200,-650,0,2,Cherenkov,0.452732825616,0.453495022377,0.453113923997,7,1.23940354247
0,EJ-200,-650,0,2,Cherenkov,0.453495022377,0.454257219138,0.453876120758,15,2.65586473387
0,EJ-200,-650,0,2,Cherenkov,0.454257219138,0.455019415899,0.454638317519,13,2.30174943602
0,EJ-200,-650,0,2,Cherenkov,0.455019415899,0.45578161266,0.45540051428,12,2.1246917871
0,EJ-200,-650,0,2,Cherenkov,0.45578161266,0.456543809421,0.456162711041,7,1.23940354247
0,EJ-200,-650,0,2,Cherenkov,0.456543809421,0.457306006183,0.456924907802,9,1.59351884032
0,EJ-200,-650,0,2,Cherenkov,0.457306006183,0.458068202944,0.457687104563,6,1.06234589355
0,EJ-200,-650,0,2,Cherenkov,0.458068202944,0.458830399705,0.458449301324,13,2.30174943602
0,EJ-200,-650,0,2,Cherenkov,0.458830399705,0.459592596466,0.459211498085,19,3.36409532957
0,EJ-200,-650,0,2,Cherenkov,0.459592596466,0.460354793227,0.459973694846,19,3.36409532957
0,EJ-200,-650,0,2,Cherenkov,0.460354793227,0.461116989988,0.460735891607,10,1.77057648925
0,EJ-200,-650,0,2,Cherenkov,0.461116989988,0.461879186749,0.461498088368,11,1.94763413817
0,EJ-200,-650,0,2,Cherenkov,0.461879186749,0.46264138351,0.462260285129,13,2.30174943602
0,EJ-200,-650,0,2,Cherenkov,0.46264138351,0.463403580271,0.46302248189,15,2.65586473387
0,EJ-200,-650,0,2,Cherenkov,0.463403580271,0.464165777032,0.463784678652,25,4.42644122312
0,EJ-200,-650,0,2,Cherenkov,0.464165777032,0.464927973793,0.464546875413,16,2.8329223828
0,EJ-200,-650,0,2,Cherenkov,0.464927973793,0.465690170554,0.465309072174,10,1.77057648925
0,EJ-200,-650,0,2,Cherenkov,0.465690170554,0.466452367315,0.466071268935,27,4.78055652097
0,EJ-200,-650,0,2,Cherenkov,0.466452367315,0.467214564076,0.466833465696,22,3.89526827635
0,EJ-200,-650,0,2,Cherenkov,0.467214564076,0.467976760837,0.467595662457,24,4.2493835742
0,EJ-200,-650,0,2,Cherenkov,0.467976760837,0.468738957598,0.468357859218,17,3.00998003172
0,EJ-200,-650,0,2,Cherenkov,0.468738957598,0.469501154359,0.469120055979,15,2.65586473387
0,EJ-200,-650,0,2,Cherenkov,0.469501154359,0.470263351121,0.46988225274,17,3.00998003172
0,EJ-200,-650,0,2,Cherenkov,0.470263351121,0.471025547882,0.470644449501,22,3.89526827635
0,EJ-200,-650,0,2,Cherenkov,0.471025547882,0.471787744643,0.471406646262,14,2.47880708495
0,EJ-200,-650,0,2,Cherenkov,0.471787744643,0.472549941404,0.472168843023,21,3.71821062742
0,EJ-200,-650,0,2,Cherenkov,0.472549941404,0.473312138165,0.472931039784,22,3.89526827635
0,EJ-200,-650,0,2,Cherenkov,0.473312138165,0.474074334926,0.473693236545,20,3.5411529785
0,EJ-200,-650,0,2,Cherenkov,0.474074334926,0.474836531687,0.474455433306,21,3.71821062742
0,EJ-200,-650,0,2,Cherenkov,0.474836531687,0.475598728448,0.475217630067,14,2.47880708495
0,EJ-200,-650,0,2,Cherenkov,0.475598728448,0.476360925209,0.475979826829,14,2.47880708495
0,EJ-200,-650,0,2,Cherenkov,0.476360925209,0.47712312197,0.47674202359,19,3.36409532957
0,EJ-200,-650,0,2,Cherenkov,0.47712312197,0.477885318731,0.477504220351,14,2.47880708495
0,EJ-200,-650,0,2,Cherenkov,0.477885318731,0.478647515492,0.478266417112,13,2.30174943602
0,EJ-200,-650,0,2,Cherenkov,0.478647515492,0.479409712253,0.479028613873,12,2.1246917871
0,EJ-200,-650,0,2,Cherenkov,0.479409712253,0.480171909014,0.479790810634,11,1.94763413817
0,EJ-200,-650,0,2,Cherenkov,0.480171909014,0.480934105775,0.480553007395,21,3.71821062742
0,EJ-200,-650,0,2,Cherenkov,0.480934105775,0.481696302536,0.481315204156,17,3.00998003172
0,EJ-200,-650,0,2,Cherenkov,0.481696302536,0.482458499298,0.482077400917,17,3.00998003172
0,EJ-200,-650,0,2,Cherenkov,0.482458499298,0.483220696059,0.482839597678,11,1.94763413817
0,EJ-200,-650,0,2,Cherenkov,0.483220696059,0.48398289282,0.483601794439,14,2.47880708495
0,EJ-200,-650,0,2,Cherenkov,0.48398289282,0.484745089581,0.4843639912,9,1.59351884032
0,EJ-200,-650,0,2,Cherenkov,0.484745089581,0.485507286342,0.485126187961,9,1.59351884032
0,EJ-200,-650,0,2,Cherenkov,0.485507286342,0.486269483103,0.485888384722,13,2.30174943602
0,EJ-200,-650,0,2,Cherenkov,0.486269483103,0.487031679864,0.486650581483,13,2.30174943602
0,EJ-200,-650,0,2,Cherenkov,0.487031679864,0.487793876625,0.487412778244,19,3.36409532957
0,EJ-200,-650,0,2,Cherenkov,0.487793876625,0.488556073386,0.488174975006,11,1.94763413817
0,EJ-200,-650,0,2,Cherenkov,0.488556073386,0.489318270147,0.488937171767,8,1.4164611914
0,EJ-200,-650,0,2,Cherenkov,0.489318270147,0.490080466908,0.489699368528,17,3.00998003172
0,EJ-200,-650,0,2,Cherenkov,0.490080466908,0.490842663669,0.490461565289,13,2.30174943602
0,EJ-200,-650,0,2,Cherenkov,0.490842663669,0.49160486043,0.49122376205,12,2.1246917871
0,EJ-200,-650,0,2,Cherenkov,0.49160486043,0.492367057191,0.491985958811,11,1.94763413817
0,EJ-200,-650,0,2,Cherenkov,0.492367057191,0.493129253952,0.492748155572,5,0.885288244624
0,EJ-200,-650,0,2,Cherenkov,0.493129253952,0.493891450713,0.493510352333,6,1.06234589355
0,EJ-200,-650,0,2,Cherenkov,0.493891450713,0.494653647475,0.494272549094,11,1.94763413817
0,EJ-200,-650,0,2,Cherenkov,0.494653647475,0.495415844236,0.495034745855,10,1.77057648925
0,EJ-200,-650,0,2,Cherenkov,0.495415844236,0.496178040997,0.495796942616,9,1.59351884032
0,EJ-200,-650,0,2,Cherenkov,0.496178040997,0.496940237758,0.496559139377,8,1.4164611914
0,EJ-200,-650,0,2,Cherenkov,0.496940237758,0.497702434519,0.497321336138,11,1.94763413817
0,EJ-200,-650,0,2,Cherenkov,0.497702434519,0.49846463128,0.498083532899,7,1.23940354247
0,EJ-200,-650,0,2,Cherenkov,0.49846463128,0.499226828041,0.49884572966,8,1.4164611914
0,EJ-200,-650,0,2,Cherenkov,0.499226828041,0.499989024802,0.499607926421,6,1.06234589355
0,EJ-200,-650,0,2,Cherenkov,0.499989024802,0.500751221563,0.500370123183,3,0.531172946774
0,EJ-200,-650,0,2,Cherenkov,0.500751221563,0.501513418324,0.501132319944,10,1.77057648925
0,EJ-200,-650,0,2,Cherenkov,0.501513418324,0.502275615085,0.501894516705,10,1.77057648925
0,EJ-200,-650,0,2,Cherenkov,0.502275615085,0.503037811846,0.502656713466,7,1.23940354247
0,EJ-200,-650,0,2,Cherenkov,0.503037811846,0.503800008607,0.503418910227,7,1.23940354247
0,EJ-200,-650,0,2,Cherenkov,0.503800008607,0.504562205368,0.504181106988,8,1.4164611914
0,EJ-200,-650,0,2,Cherenkov,0.504562205368,0.505324402129,0.504943303749,6,1.06234589355
0,EJ-200,-650,0,2,Cherenkov,0.505324402129,0.50608659889,0.50570550051,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.50608659889,0.506848795652,0.506467697271,12,2.1246917871
0,EJ-200,-650,0,2,Cherenkov,0.506848795652,0.507610992413,0.507229894032,5,0.885288244624
0,EJ-200,-650,0,2,Cherenkov,0.507610992413,0.508373189174,0.507992090793,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.508373189174,0.509135385935,0.508754287554,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.509135385935,0.509897582696,0.509516484315,6,1.06234589355
0,EJ-200,-650,0,2,Cherenkov,0.509897582696,0.510659779457,0.510278681076,5,0.885288244624
0,EJ-200,-650,0,2,Cherenkov,0.510659779457,0.511421976218,0.511040877837,2,0.35411529785
0,EJ-200,-650,0,2,Cherenkov,0.511421976218,0.512184172979,0.511803074598,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.512184172979,0.51294636974,0.512565271359,6,1.06234589355
0,EJ-200,-650,0,2,Cherenkov,0.51294636974,0.513708566501,0.513327468121,3,0.531172946774
0,EJ-200,-650,0,2,Cherenkov,0.513708566501,0.514470763262,0.514089664882,5,0.885288244624
0,EJ-200,-650,0,2,Cherenkov,0.514470763262,0.515232960023,0.514851861643,3,0.531172946774
0,EJ-200,-650,0,2,Cherenkov,0.515232960023,0.515995156784,0.515614058404,2,0.35411529785
0,EJ-200,-650,0,2,Cherenkov,0.515995156784,0.516757353545,0.516376255165,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.516757353545,0.517519550306,0.517138451926,3,0.531172946775
0,EJ-200,-650,0,2,Cherenkov,0.517519550306,0.518281747067,0.517900648687,2,0.35411529785
0,EJ-200,-650,0,2,Cherenkov,0.518281747067,0.519043943829,0.518662845448,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.519043943829,0.51980614059,0.519425042209,1,0.177057648925
0,EJ-200,-650,0,2,Cherenkov,0.51980614059,0.520568337351,0.52018723897,5,0.885288244624
0,EJ-200,-650,0,2,Cherenkov,0.520568337351,0.521330534112,0.520949435731,4,0.708230595699
0,EJ-200,-650,0,2,Cherenkov,0.521330534112,0.522092730873,0.521711632492,3,0.531172946774
0,EJ-200,-650,0,2,Cherenkov,0.522092730873,0.522854927634,0.522473829253,2,0.35411529785
0,EJ-200,-650,0,2,Cherenkov,0.522854927634,0.523617124395,0.523236026014,0,0
0,EJ-200,-650,0,2,Cherenkov,0.523617124395,0.524379321156,0.523998222775,3,0.531172946774
0,EJ-200,-650,0,2,Cherenkov,0.524379321156,0.525141517917,0.524760419536,2,0.35411529785
0,EJ-200,-650,0,2,Cherenkov,0.525141517917,0.525903714678,0.525522616298,2,0.35411529785
