selection,material_code,material,nominal_d_mm,count_quantile,n_event_ends,mean_n_cherenkov,mean_v_axial_mm_per_ns,se_v_axial_mm_per_ns,median_v_axial_mm_per_ns,mean_alpha_axial_deg,distance_to_beta1_edge_mm_per_ns,distance_to_finite_beta_edge_mm_per_ns
all_source_type_2,2,EJ-230,1200,4,3780,5.79206349206,150.390016021,0.198046928065,146.346991913,36.6738452388,3.48711279712,3.94019088759
all_source_type_2,2,EJ-230,1350,0,3701,1,134.976361613,0.245031892588,137.762311664,43.1682708965,-11.9265416109,-11.4734635204
all_source_type_2,2,EJ-230,1350,1,3702,1.95813074014,142.126084789,0.151445424145,144.946468345,40.5107202795,-4.77681843437,-4.32374034389
all_source_type_2,2,EJ-230,1350,2,3702,2.61615343058,144.027811473,0.135251586436,145.766995803,39.8447732228,-2.87509175104,-2.42201366056
all_source_type_2,2,EJ-230,1350,3,3702,3.45326850351,145.63643083,0.129699388974,146.194101175,39.2455461956,-1.26647239374,-0.813394303261
all_source_type_2,2,EJ-230,1350,4,3703,5.19686740481,149.452243608,0.189520473085,146.368899929,37.101792224,2.54934038398,3.00241847445
primary_like_proxy,0,EJ-200,50,0,2952,8.56131436314,140.38904456,0.286395359775,144.927521698,41.8882060212,-6.5138586634,-6.06078057293
primary_like_proxy,0,EJ-200,50,1,2953,15.3440568913,145.329970716,0.0293697706835,145.889430112,39.9396086397,-1.57293250775,-1.11985441727
primary_like_proxy,0,EJ-200,50,2,2953,20.0027091094,145.606088151,0.0210182802011,145.991496055,39.8246168576,-1.29681507233,-0.843736981859
primary_like_proxy,0,EJ-200,50,3,2953,25.7609210972,145.713916789,0.0218639977711,146.022712692,39.7745042357,-1.18898643469,-0.73590834422
primary_like_proxy,0,EJ-200,50,4,2953,39.5634947511,145.770549059,0.0214547020766,146.068652152,39.7486629443,-1.13235416487,-0.679276074396
primary_like_proxy,0,EJ-200,200,0,2948,4.59531886024,139.12445856,0.309660955526,145.446150422,42.3926186009,-7.7784446631,-7.32536657263
primary_like_proxy,0,EJ-200,200,1,2949,8.60766361478,145.067885229,0.0631252736706,146.193390295,40.1064443743,-1.83501799468,-1.3819399042
primary_like_proxy,0,EJ-200,200,2,2948,11.5681818182,145.696401952,0.0326289034019,146.263458824,39.8285347264,-1.20650127182,-0.753423181347
primary_like_proxy,0,EJ-200,200,3,2949,15.1149542218,145.92770934,0.0286255172309,146.287492641,39.7202311944,-0.97519388397,-0.522115793495
primary_like_proxy,0,EJ-200,200,4,2949,23.6612410987,146.095799784,0.0154027944888,146.30387756,39.6451093347,-0.807103439647,-0.354025349172
primary_like_proxy,0,EJ-200,500,0,2898,2.16942719117,137.028466934,0.332060973763,144.822421604,43.2073193919,-9.8744362892,-9.42135819872
primary_like_proxy,0,EJ-200,500,1,2898,4.28571428571,144.322131659,0.0939435216799,146.171634173,40.427953928,-2.58077156443,-2.12769347395
