material_code,material,nominal_d_mm,bin_low_deg,bin_high_deg,bin_center_deg,count,density_per_deg
0,EJ-200,50,43.62,43.64,43.63,1,0.0033866160932
0,EJ-200,50,43.64,43.66,43.65,2,0.0067732321864
0,EJ-200,50,43.66,43.68,43.67,2,0.0067732321864
0,EJ-200,50,43.68,43.7,43.69,0,0
0,EJ-200,50,43.7,43.72,43.71,3,0.0101598482796
0,EJ-200,50,43.72,43.74,43.73,3,0.0101598482796
0,EJ-200,50,43.74,43.76,43.75,0,0
0,EJ-200,50,43.76,43.78,43.77,4,0.0135464643728
0,EJ-200,50,43.78,43.8,43.79,1,0.0033866160932
0,EJ-200,50,43.8,43.82,43.81,3,0.0101598482796
0,EJ-200,50,43.82,43.84,43.83,1,0.0033866160932
0,EJ-200,50,43.84,43.86,43.85,1,0.0033866160932
0,EJ-200,50,43.86,43.88,43.87,5,0.016933080466
0,EJ-200,50,43.88,43.9,43.89,1,0.0033866160932
0,EJ-200,50,43.9,43.92,43.91,1,0.0033866160932
0,EJ-200,50,43.92,43.94,43.93,3,0.0101598482796
0,EJ-200,50,43.94,43.96,43.95,3,0.0101598482796
0,EJ-200,50,43.96,43.98,43.97,0,0
0,EJ-200,50,43.98,44,43.99,3,0.0101598482796
0,EJ-200,50,44,44.02,44.01,2,0.0067732321864
0,EJ-200,50,44.02,44.04,44.03,1,0.0033866160932
0,EJ-200,50,44.04,44.06,44.05,4,0.0135464643728
0,EJ-200,50,44.06,44.08,44.07,2,0.0067732321864
0,EJ-200,50,44.08,44.1,44.09,3,0.0101598482796
0,EJ-200,50,44.1,44.12,44.11,2,0.0067732321864
0,EJ-200,50,44.12,44.14,44.13,2,0.0067732321864
0,EJ-200,50,44.14,44.16,44.15,1,0.0033866160932
0,EJ-200,50,44.16,44.18,44.17,4,0.0135464643728
0,EJ-200,50,44.18,44.2,44.19,3,0.0101598482796
0,EJ-200,50,44.2,44.22,44.21,6,0.0203196965592
0,EJ-200,50,44.22,44.24,44.23,2,0.0067732321864
0,EJ-200,50,44.24,44.26,44.25,3,0.0101598482796
0,EJ-200,50,44.26,44.28,44.27,0,0
0,EJ-200,50,44.28,44.3,44.29,1,0.0033866160932
0,EJ-200,50,44.3,44.32,44.31,3,0.0101598482796
0,EJ-200,50,44.32,44.34,44.33,1,0.0033866160932
0,EJ-200,50,44.34,44.36,44.35,1,0.0033866160932
0,EJ-200,50,44.36,44.38,44.37,2,0.0067732321864
0,EJ-200,50,44.38,44.4,44.39,2,0.0067732321864
0,EJ-200,50,44.4,44.42,44.41,0,0
0,EJ-200,50,44.42,44.44,44.43,3,0.0101598482796
0,EJ-200,50,44.44,44.46,44.45,0,0
0,EJ-200,50,44.46,44.48,44.47,4,0.0135464643728
0,EJ-200,50,44.48,44.5,44.49,0,0
0,EJ-200,50,44.5,44.52,44.51,2,0.0067732321864
0,EJ-200,50,44.52,44.54,44.53,0,0
0,EJ-200,50,44.54,44.56,44.55,3,0.0101598482796
0,EJ-200,50,44.56,44.58,44.57,4,0.0135464643728
0,EJ-200,50,44.58,44.6,44.59,1,0.0033866160932
0,EJ-200,50,44.6,44.62,44.61,2,0.0067732321864
0,EJ-200,50,44.62,44.64,44.63,0,0
0,EJ-200,50,44.64,44.66,44.65,1,0.0033866160932
0,EJ-200,50,44.66,44.68,44.67,0,0
0,EJ-200,50,44.68,44.7,44.69,1,0.0033866160932
0,EJ-200,50,44.7,44.72,44.71,1,0.0033866160932
0,EJ-200,50,44.72,44.74,44.73,0,0
0,EJ-200,50,44.74,44.76,44.75,2,0.0067732321864
0,EJ-200,50,44.76,44.78,44.77,2,0.0067732321864
0,EJ-200,50,44.78,44.8,44.79,2,0.0067732321864
0,EJ-200,50,44.8,44.82,44.81,1,0.0033866160932
0,EJ-200,50,44.82,44.84,44.83,0,0
0,EJ-200,50,44.84,44.86,44.85,1,0.0033866160932
0,EJ-200,50,44.86,44.88,44.87,0,0
0,EJ-200,50,44.88,44.9,44.89,3,0.0101598482796
0,EJ-200,50,44.9,44.92,44.91,1,0.0033866160932
0,EJ-200,50,44.92,44.94,44.93,2,0.0067732321864
0,EJ-200,50,44.94,44.96,44.95,4,0.0135464643728
0,EJ-200,50,44.96,44.98,44.97,1,0.0033866160932
0,EJ-200,50,44.98,45,44.99,2,0.0067732321864
0,EJ-200,50,45,45.02,45.01,1,0.0033866160932
0,EJ-200,50,45.02,45.04,45.03,0,0
0,EJ-200,50,45.04,45.06,45.05,1,0.0033866160932
0,EJ-200,50,45.06,45.08,45.07,0,0
0,EJ-200,50,45.08,45.1,45.09,0,0
0,EJ-200,50,45.1,45.12,45.11,0,0
0,EJ-200,50,45.12,45.14,45.13,0,0
0,EJ-200,50,45.14,45.16,45.15,0,0
0,EJ-200,50,45.16,45.18,45.17,0,0
0,EJ-200,50,45.18,45.2,45.19,0,0
0,EJ-200,50,45.2,45.22,45.21,0,0
0,EJ-200,50,45.22,45.24,45.23,0,0
0,EJ-200,50,45.24,45.26,45.25,0,0
0,EJ-200,50,45.26,45.28,45.27,0,0
0,EJ-200,50,45.28,45.3,45.29,0,0
0,EJ-200,50,45.3,45.32,45.31,0,0
0,EJ-200,50,45.32,45.34,45.33,0,0
0,EJ-200,50,45.34,45.36,45.35,0,0
0,EJ-200,50,45.36,45.38,45.37,0,0
0,EJ-200,50,45.38,45.4,45.39,0,0
0,EJ-200,50,45.4,45.42,45.41,0,0
0,EJ-200,50,45.42,45.44,45.43,0,0
0,EJ-200,50,45.44,45.46,45.45,0,0
0,EJ-200,50,45.46,45.48,45.47,0,0
0,EJ-200,50,45.48,45.5,45.49,0,0
0,EJ-200,50,45.5,45.52,45.51,1,0.0033866160932
0,EJ-200,50,45.52,45.54,45.53,1,0.0033866160932
0,EJ-200,50,45.54,45.56,45.55,1,0.0033866160932
0,EJ-200,50,45.56,45.58,45.57,0,0
0,EJ-200,50,45.58,45.6,45.59,1,0.0033866160932
0,EJ-200,50,45.6,45.62,45.61,1,0.0033866160932
0,EJ-200,50,45.62,45.64,45.63,1,0.0033866160932
0,EJ-200,50,45.64,45.66,45.65,0,0
0,EJ-200,50,45.66,45.68,45.67,0,0
0,EJ-200,50,45.68,45.7,45.69,1,0.0033866160932
0,EJ-200,50,45.7,45.72,45.71,1,0.0033866160932
0,EJ-200,50,45.72,45.74,45.73,2,0.0067732321864
0,EJ-200,50,45.74,45.76,45.75,0,0
0,EJ-200,50,45.76,45.78,45.77,2,0.0067732321864
0,EJ-200,50,45.78,45.8,45.79,0,0
0,EJ-200,50,45.8,45.82,45.81,2,0.0067732321864
0,EJ-200,50,45.82,45.84,45.83,1,0.0033866160932
0,EJ-200,50,45.84,45.86,45.85,0,0
0,EJ-200,50,45.86,45.88,45.87,0,0
0,EJ-200,50,45.88,45.9,45.89,0,0
0,EJ-200,50,45.9,45.92,45.91,1,0.0033866160932
0,EJ-200,50,45.92,45.94,45.93,1,0.0033866160932
0,EJ-200,50,45.94,45.96,45.95,0,0
0,EJ-200,50,45.96,45.98,45.97,0,0
0,EJ-200,50,45.98,46,45.99,1,0.0033866160932
0,EJ-200,50,46,46.02,46.01,1,0.0033866160932
0,EJ-200,50,46.02,46.04,46.03,2,0.0067732321864
0,EJ-200,50,46.04,46.06,46.05,2,0.0067732321864
0,EJ-200,50,46.06,46.08,46.07,0,0
0,EJ-200,50,46.08,46.1,46.09,1,0.0033866160932
0,EJ-200,50,46.1,46.12,46.11,0,0
0,EJ-200,50,46.12,46.14,46.13,1,0.0033866160932
0,EJ-200,50,46.14,46.16,46.15,0,0
0,EJ-200,50,46.16,46.18,46.17,1,0.0033866160932
0,EJ-200,50,46.18,46.2,46.19,2,0.0067732321864
0,EJ-200,50,46.2,46.22,46.21,0,0
0,EJ-200,50,46.22,46.24,46.23,1,0.0033866160932
0,EJ-200,50,46.24,46.26,46.25,0,0
0,EJ-200,50,46.26,46.28,46.27,2,0.0067732321864
0,EJ-200,50,46.28,46.3,46.29,1,0.0033866160932
0,EJ-200,50,46.3,46.32,46.31,0,0
0,EJ-200,50,46.32,46.34,46.33,1,0.0033866160932
0,EJ-200,50,46.34,46.36,46.35,0,0
0,EJ-200,50,46.36,46.38,46.37,2,0.0067732321864
0,EJ-200,50,46.38,46.4,46.39,2,0.0067732321864
0,EJ-200,50,46.4,46.42,46.41,0,0
0,EJ-200,50,46.42,46.44,46.43,0,0
0,EJ-200,50,46.44,46.46,46.45,1,0.0033866160932
0,EJ-200,50,46.46,46.48,46.47,2,0.0067732321864
0,EJ-200,50,46.48,46.5,46.49,1,0.0033866160932
0,EJ-200,50,46.5,46.52,46.51,1,0.0033866160932
0,EJ-200,50,46.52,46.54,46.53,0,0
0,EJ-200,50,46.54,46.56,46.55,2,0.0067732321864
0,EJ-200,50,46.56,46.58,46.57,1,0.0033866160932
0,EJ-200,50,46.58,46.6,46.59,1,0.0033866160932
0,EJ-200,50,46.6,46.62,46.61,1,0.0033866160932
0,EJ-200,50,46.62,46.64,46.63,2,0.0067732321864
0,EJ-200,50,46.64,46.66,46.65,0,0
0,EJ-200,50,46.66,46.68,46.67,2,0.0067732321864
0,EJ-200,50,46.68,46.7,46.69,0,0
0,EJ-200,50,46.7,46.72,46.71,1,0.0033866160932
0,EJ-200,50,46.72,46.74,46.73,1,0.0033866160932
0,EJ-200,50,46.74,46.76,46.75,0,0
0,EJ-200,50,46.76,46.78,46.77,2,0.0067732321864
0,EJ-200,50,46.78,46.8,46.79,0,0
0,EJ-200,50,46.8,46.82,46.81,0,0
0,EJ-200,50,46.82,46.84,46.83,0,0
