x_mm,group,N_nominal,N_eff,reach_min,minimum_threshold,reach_nominal,reach_effective,npe_mean,reduced_threshold,starvation,sigma_fit_ns,sigma_fit_err_ns,resolution_limited
450,end_far,20,14,0.95,4,0.7045,0.9595,23.639,True,False,0.671949,0.023149,False
450,end_near,4,4,0.95,4,1.0,1.0,364.594,False,False,0.021057,0.006506,True
450,top_nearest,4,4,0.95,4,1.0,1.0,318.7385,False,False,0.008135,0.001677,True
500,end_far,20,12,0.95,4,0.5265,0.963,20.989,True,False,0.606502,0.022086,False
500,end_near,4,4,0.95,4,1.0,1.0,450.7575,False,False,0.011621,0.006253,True
500,top_nearest,4,4,0.95,4,1.0,1.0,367.1165,False,False,0.007089,0.000126,True
550,end_far,20,11,0.95,4,0.4165,0.954,19.191,True,False,0.63241,0.019798,False
550,end_near,4,4,0.95,4,1.0,1.0,590.7695,False,False,0.015147,0.005924,True
550,top_nearest,4,4,0.95,4,1.0,1.0,319.643,False,False,0.008166,0.001481,True
600,end_far,20,9,0.95,4,0.256,0.9595,16.743,True,False,0.660367,0.022544,False
600,end_near,4,4,0.95,4,1.0,1.0,750.965,False,False,0.013824,0.000229,True
600,top_nearest,4,4,0.95,4,1.0,1.0,368.212,False,False,0.007112,0.000127,True
650,end_far,20,8,0.95,4,0.169,0.9645,15.1605,True,False,0.6741,0.024091,False
650,end_near,4,4,0.95,4,1.0,1.0,1076.769,False,False,0.002577,0.000295,True
650,top_nearest,4,4,0.95,4,1.0,1.0,319.6695,False,False,0.007774,0.001894,True
670,end_far,20,7,0.95,4,0.1255,0.973,14.1455,True,False,0.591917,0.019659,False
670,end_near,4,4,0.95,4,1.0,1.0,1280.2955,False,False,0.001388,0.00013,True
670,top_nearest,4,4,0.95,4,1.0,1.0,316.436,False,False,0.007808,0.001714,True
690,end_far,20,7,0.95,4,0.119,0.9635,13.85,True,False,0.621593,0.024209,False
690,end_near,4,4,0.95,4,1.0,1.0,1564.501,False,False,0.000562,2.2e-05,True
690,top_nearest,4,4,0.95,4,1.0,1.0,320.6475,False,False,0.009209,0.007798,True
