x_mm,group,side_role,N,n_events,n_reached,reach,frac_excluded,npe_mean,mean_ns,rms_ns,fit_mu_ns,sigma_fit_ns,sigma_fit_err_ns,fit_valid,fit_method,display_bin_width_ns,channels
-300,end_right,far,20,2000,1959,0.9795,0.0205,34.237,6.200517,1.056469,5.865447,0.607331,0.021421,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
-300,top_nearest,top,20,2000,2000,1.0,0.0,370.5675,0.678933,0.070161,0.677005,0.071084,0.005074,True,fixed-25ps-gaussian-core,0.025,"(36,)"
-250,end_left,near,4,2000,2000,1.0,0.0,171.687,2.132151,0.077136,2.144039,0.067629,0.010812,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-250,end_right,far,4,2000,2000,1.0,0.0,38.731,4.175308,0.195275,4.151159,0.18443,0.006091,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-250,top_nearest,top,4,2000,2000,1.0,0.0,318.0885,0.365656,0.046609,0.342685,0.006771,,False,mean-rms-ultrafine,0.025,"(38,)"
-250,end_left,near,20,2000,2000,1.0,0.0,171.687,2.525032,0.118126,2.521646,0.110492,0.00432,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-250,end_right,far,20,2000,1991,0.9955,0.0045,38.731,5.638377,0.800989,5.431713,0.503628,0.015976,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-250,top_nearest,top,20,2000,2000,1.0,0.0,318.0885,0.664434,0.06693,0.66234,0.068652,0.00942,True,fixed-25ps-gaussian-core,0.025,"(38,)"
-200,end_left,near,4,2000,2000,1.0,0.0,145.669,2.329714,0.085271,2.334743,0.080649,0.007452,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-200,end_right,far,4,2000,2000,1.0,0.0,44.3715,3.960249,0.177858,3.939184,0.166121,0.005543,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-200,top_nearest,top,4,2000,2000,1.0,0.0,370.098,0.373746,0.050049,0.352994,0.013352,,False,mean-rms-ultrafine,0.025,"(41,)"
-200,end_left,near,20,2000,2000,1.0,0.0,145.669,2.769853,0.13206,2.761017,0.127505,0.003709,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-200,end_right,far,20,2000,1999,0.9995,0.0005,44.3715,5.18676,0.563629,5.04855,0.415003,0.01597,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-200,top_nearest,top,20,2000,2000,1.0,0.0,370.098,0.677244,0.069086,0.674147,0.067218,0.004648,True,fixed-25ps-gaussian-core,0.025,"(41,)"
-150,end_left,near,4,2000,2000,1.0,0.0,127.0485,2.525485,0.093839,2.528814,0.096372,0.008021,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-150,end_right,far,4,2000,2000,1.0,0.0,50.2115,3.756651,0.167897,3.739235,0.167199,0.008269,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-150,top_nearest,top,4,2000,2000,1.0,0.0,318.16,0.364831,0.045772,0.340592,0.008074,,False,mean-rms-ultrafine,0.025,"(43,)"
-150,end_left,near,20,2000,2000,1.0,0.0,127.0485,2.9975,0.146954,2.991567,0.137499,0.004619,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-150,end_right,far,20,2000,2000,1.0,0.0,50.2115,4.814037,0.422982,4.731523,0.351866,0.011537,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-150,top_nearest,top,20,2000,2000,1.0,0.0,318.16,0.664401,0.068133,0.65887,0.06493,0.007164,True,fixed-25ps-gaussian-core,0.025,"(43,)"
-100,end_left,near,4,2000,2000,1.0,0.0,102.654,2.732411,0.103793,2.732664,0.104597,0.009246,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-100,end_right,far,4,2000,2000,1.0,0.0,59.573,3.542152,0.148596,3.532817,0.146037,0.004872,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-100,top_nearest,top,4,2000,2000,1.0,0.0,372.455,0.371766,0.047893,0.347187,0.008945,,False,mean-rms-ultrafine,0.025,"(46,)"
-100,end_left,near,20,2000,2000,1.0,0.0,102.654,3.287011,0.180717,3.281549,0.169397,0.005868,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-100,end_right,far,20,2000,2000,1.0,0.0,59.573,4.431982,0.325697,4.379238,0.289377,0.009998,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-100,top_nearest,top,20,2000,2000,1.0,0.0,372.455,0.674865,0.071649,0.673631,0.069997,0.004483,True,fixed-25ps-gaussian-core,0.025,"(46,)"
-50,end_left,near,4,2000,2000,1.0,0.0,89.284,2.94025,0.113284,2.938594,0.114791,0.006572,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-50,end_right,far,4,2000,2000,1.0,0.0,66.6125,3.344125,0.136546,3.33381,0.133612,0.005448,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-50,top_nearest,top,4,2000,2000,1.0,0.0,318.1685,0.366673,0.047721,0.341106,0.008455,,False,mean-rms-ultrafine,0.025,"(48,)"
-50,end_left,near,20,2000,2000,1.0,0.0,89.284,3.55793,0.19648,3.535122,0.181504,0.006117,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
-50,end_right,far,20,2000,2000,1.0,0.0,66.6125,4.142899,0.276847,4.113916,0.262002,0.006758,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-50,top_nearest,top,20,2000,2000,1.0,0.0,318.1685,0.66506,0.067532,0.661599,0.064704,0.008015,True,fixed-25ps-gaussian-core,0.025,"(48,)"
0,end_left,near,4,2000,2000,1.0,0.0,75.906,3.132778,0.126618,3.124223,0.127878,0.004592,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
0,end_right,near,4,2000,2000,1.0,0.0,76.051,3.137703,0.124693,3.131967,0.126503,0.006337,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
0,top_nearest,top,4,2000,2000,1.0,0.0,365.9995,0.383023,0.053621,0.364242,0.009549,,False,mean-rms-ultrafine,0.025,"(50,)"
0,end_left,near,20,2000,2000,1.0,0.0,75.906,3.843777,0.234748,3.82906,0.222455,0.007333,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
