scenario,wavelength_nm_created,folded_exit_angle_deg,finite_beta_edge_deg,d_axial_mm,group_velocity_mm_ns,propagation_time_ns,predicted_angular_penalty_ps,observed_edge_excess_ps,is_upper_5pct_angle_tail
visible_lower_764mm,586.171385525,39.8109885357,39.7329783131,49.5007479249,175.874875084,0.345044007025,0.414992088501,-20.9413247881,0
visible_lower_764mm,566.068384943,39.6406877851,39.5893463124,49.9330096195,174.686576793,0.349394835563,0.275212502547,-21.5260679214,0
visible_lower_764mm,516.073719614,39.3103176904,39.180867978,49.5000434872,171.546269066,0.344076142312,0.687681235525,-28.1745171087,0
visible_lower_764mm,465.200647989,43.3255533668,38.6795320016,49.4999071998,168.095426256,0.368687206914,27.5791918114,-8.52875088696,0
visible_lower_764mm,499.84127249,41.611249908,39.0309552521,49.4990805172,170.471945893,0.357137979284,14.5674910818,-16.6555066585,0
visible_lower_764mm,542.723396912,41.1970728854,39.4081534804,49.5005896949,173.2525337,0.352412916424,9.92457595419,-17.3741937321,0
visible_lower_764mm,385.921419827,37.8964603842,37.6913860043,49.4998607902,162.288081988,0.339323041174,1.07138929464,-46.1266463498,0
visible_lower_764mm,709.307276354,41.1442279306,40.4052247924,49.499971759,189.948931295,0.346340075576,3.8280214673,4.11640083327,0
visible_lower_764mm,649.835201438,40.2055514461,40.12079381,49.5000710402,179.348770569,0.345941260264,0.450894509582,-14.9890700856,0
visible_lower_764mm,648.914334294,40.2012634829,40.1158430448,49.5001143768,179.30164535,0.345897873991,0.454435063364,-15.1013495964,0
visible_lower_764mm,636.190118051,40.5883812757,40.0455723153,49.4999835237,178.641358813,0.348211508754,2.92162380945,-13.7473085956,0
visible_lower_764mm,639.406795787,40.0812582284,40.0636689882,49.6636681885,178.809937178,0.346868994157,0.0937363154835,-16.0407133677,0
visible_lower_764mm,659.460006229,41.6515936217,40.1714798387,49.5000212666,179.912493702,0.353535337212,8.15225932641,-6.53228695565,0
visible_lower_764mm,398.850930287,58.3761254083,37.8717097711,49.5002668079,163.26442816,0.497548923878,194.148631156,113.465260634,1
