estimator,x_mm,sigma_fit_ps,sigma_fit_err_ps,bootstrap_err_ps,mu_fit_ns,chi2_ndf,n_events,flag
END_L_SUM4,250,1082.9341872828404,82.73708372229139,189.0153551903922,6.741632742892413,9.59930982168821,433,ok|sigma_outlier
END_L_SUM4,300,1072.0176430107072,68.89998623497584,127.67169828974356,7.103550733859027,6.308727340627102,391,ok|sigma_outlier
END_L_SUM4,350,1016.721068402284,94.1730015190021,147.48567636296332,7.099193526112508,3.5752553120954125,346,ok|sigma_outlier
END_L_SUM4,400,1055.3461954388497,83.19747752548967,124.57896878551642,7.619192395278169,6.53659118206956,314,ok|sigma_outlier
END_L_SUM4,450,1033.0383101510645,102.31398232289123,397.6633540037018,7.778743705207773,15.273368936113012,280,ok|sigma_outlier
END_L_SUM4,500,1640.1723659341776,199.80173615847298,407.8553948262741,8.241480389456843,2.024633220602084,244,ok|sigma_outlier
END_L_SUM4,550,1161.7937145929454,111.04523305456904,220.66209895613974,8.529676364041482,1.3563888294639472,226,ok|sigma_outlier
END_L_SUM4,600,1903.6055476212284,463.0183838708408,862.6843534842783,8.298718844685231,2.328804191962837,206,ok|sigma_outlier
END_L_SUM4,650,717.9595632142737,65.18102835559175,192.0041971414423,8.451544382274916,nan,163,ok|sigma_outlier
END_L_SUM4,670,2065.083682440245,633.661859483647,1379.604323064097,8.64749036077372,1.4119011475064454,168,ok|sigma_outlier
END_L_SUM4,690,1395.469618886803,215.46971178206397,423.8511078023173,9.242973158824448,4.828929166935012,168,ok|sigma_outlier
END_R_SUM4,-690,1188.0542584482002,127.48747671403893,163.4804719963892,9.33973736546265,5.139811050898883,176,ok|sigma_outlier
END_R_SUM4,-670,1159.668899162223,109.93683528803288,156.37481821485042,9.148826752926313,1.908930182467246,187,ok|sigma_outlier
END_R_SUM4,-650,1554.7163589473694,226.55027776194015,216.89975921081955,8.810894871294929,3.291893859526899,189,ok|sigma_outlier
END_R_SUM4,-600,1767.0320564187184,278.950236484225,624.6492154267293,8.707940145299148,1.107824390267158,200,ok|sigma_outlier
END_R_SUM4,-550,1569.2919529766373,252.88295001706297,261.217895552296,8.428410761209564,9.707824202389334,203,ok|sigma_outlier
END_R_SUM4,-500,1129.6987586384962,122.33046103473887,254.0681947327353,7.896488531079162,5.013307871368134,235,ok|sigma_outlier
END_R_SUM4,-450,1002.883572707741,76.90141944056484,111.8517560798796,7.833679586005938,2.9003302452641835,282,ok|sigma_outlier
END_R_SUM4,-400,1059.6047855871705,90.16167896082666,115.2978351286605,7.5133872120997,4.173904946059669,317,ok|sigma_outlier
