event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,V2_encounters,V2_escaped,V5_incident,V5_matched,V5_expected_PDE_sum,SD_detected,SD_orphan,npe_left,npe_right
3362,31089.0,2.9899740494140974,0.04669283015544256,2.943281219258655,30639,7796,14008.0,8589.0,8603.257878182547,8735.0,146.0,948,431
3363,40288.0,3.8863450713614274,0.06058885975553445,3.825756211605893,39710,10226,17879.0,10954.0,10967.34404878351,11124.0,170.0,1156,560
3364,19053.0,1.8388883987878974,0.029020860470564343,1.809867538317333,18801,4791,8491.0,5242.0,5198.945380609558,5304.0,62.0,572,271
3365,18486.0,1.7774886322395038,0.028358295048866475,1.7491303371906373,18244,4650,8397.0,5231.0,5143.2295481425035,5300.0,69.0,561,240
3366,16036.0,1.5546353891802573,0.024617939203206603,1.5300174499770507,15822,4080,7278.0,4494.0,4454.725541345724,4559.0,65.0,479,231
3367,20843.0,1.9745956405363814,0.03181500712257359,1.9427806334138078,20536,5337,9364.0,5826.0,5744.858855509404,5918.0,92.0,670,274
3368,26534.0,2.541369649099133,0.040114754455274876,2.5012548946438584,26131,6844,11844.0,7323.0,7263.9446990896195,7440.0,117.0,820,355
3369,25193.0,2.4038056324155197,0.03795128634134617,2.3658543460741734,24868,6416,11162.0,6879.0,6844.319206647841,6988.0,109.0,747,337
3370,17639.0,1.7006229976957907,0.02678290147385981,1.6738400962219309,17413,4478,8069.0,4987.0,4943.891431753163,5068.0,81.0,507,240
3371,34222.0,3.283339194846558,0.051123363877696205,3.232215830968862,33772,8765,15410.0,9443.0,9458.143674496872,9582.0,139.0,1064,484
3372,18328.0,1.7511972491435555,0.027677859257680123,1.7235193898858754,18052,4662,8208.0,5006.0,5025.672258138312,5098.0,92.0,564,253
3373,19914.0,1.8791664755597692,0.02998258687810723,1.849183888681662,19631,5023,8999.0,5472.0,5515.26109153132,5544.0,72.0,618,275
3374,15153.0,1.452254143858016,0.023596437348138637,1.4286577065098776,14932,3798,6952.0,4281.0,4250.849596788089,4338.0,57.0,470,226
3375,33367.0,3.2008155322310348,0.050356594837122966,3.150458937393912,32884,8237,14977.0,9231.0,9204.055768338838,9387.0,156.0,1040,471
3376,21258.0,2.0414260404811535,0.03238153954065697,2.0090445009404965,20946,5414,9605.0,5939.0,5879.306788284391,6024.0,85.0,678,286
3377,19765.0,1.901722312120462,0.029877223541867556,1.8718450885785944,19463,5043,8900.0,5429.0,5451.321994064728,5526.0,97.0,561,254
3378,29837.0,2.892137718579066,0.04568287314699421,2.846454845432072,29431,7510,13465.0,8336.0,8246.60580333205,8474.0,138.0,922,439
3379,17759.0,1.714845670838279,0.026920988053769378,1.6879246827845098,17499,4444,8036.0,4826.0,4919.93016724808,4898.0,72.0,513,250
3380,17301.0,1.6783958771782848,0.026414208079881266,1.6519816690984035,17085,4540,7872.0,4845.0,4809.409789149116,4901.0,56.0,548,228
