sample,material,material_code,source_type,source,nominal_d_mm,mean_d_direct_mm,mean_tprop_ns,se_tprop_ns,mirror_low_ns,mirror_high_ns,mirror_delta_ns,mirror_pull,n_total,var_tprop_ns2
first_by_source,EJ-200,0,2,Cherenkov,700,699.67215581,4.70507451521,0.00183242750881,4.70319087305,4.70695815736,-0.00376728431141,-1.02794907119,20000,0.0671490959198
first_by_source,EJ-200,0,2,Cherenkov,900,899.624142661,6.05579673805,0.0023701011575,6.05480761623,6.05678585986,0.00197824362834,0.417333163624,20000,0.112336355177
first_by_source,EJ-200,0,2,Cherenkov,1200,1199.61913691,8.15237713529,0.00354204394773,8.14965545,8.15509882058,0.00544337057284,0.768393991318,19995,0.250832317087
first_by_source,EJ-200,0,2,Cherenkov,1350,1349.5950104,9.16526539732,0.00365322125266,9.16352988578,9.16700090886,-0.0034710230733,-0.475063352757,19992,0.266787050162
first_by_source,EJ-204,1,1,scintillation,50,51.6010837198,0.284575912486,0.000149770684032,0.284387799094,0.284764025878,-0.000376226784345,-1.25600943462,20000,0.000448580293391
first_by_source,EJ-204,1,1,scintillation,200,200.235157158,1.09206531743,0.000257036857458,1.09187769055,1.09225294432,-0.000375253769157,-0.729961011951,20000,0.00132122678594
first_by_source,EJ-204,1,1,scintillation,500,499.792486351,2.69457664591,0.00039163274936,2.69385638588,2.69529690594,0.0014405200582,1.83912103948,20000,0.00306721745501
first_by_source,EJ-204,1,1,scintillation,700,699.695198758,3.76103741718,0.000481355943977,3.76090214928,3.76117268509,0.000270535804354,0.281014296945,20000,0.00463360748896
first_by_source,EJ-204,1,1,scintillation,900,899.653231652,4.82839184433,0.000561329718812,4.82725475444,4.82952893422,-0.00227417978185,-2.02570762391,20000,0.00630119088232
first_by_source,EJ-204,1,1,scintillation,1200,1199.6221821,6.43212346708,0.000722740465478,6.43165050774,6.43259642642,0.000945918677878,0.654397202772,20000,0.0104460309012
first_by_source,EJ-204,1,1,scintillation,1350,1349.50612663,7.23160896091,0.000869050197962,7.23144449729,7.23177342452,-0.000328927227297,-0.189245240418,20000,0.0151034544351
first_by_source,EJ-204,1,2,Cherenkov,50,49.9172162026,0.332752900198,0.000156248975712,0.332706153396,0.332799646999,-9.34936028943e-05,-0.299181490529,20000,0.000488226020736
first_by_source,EJ-204,1,2,Cherenkov,200,199.905628683,1.33871044063,0.000558386622442,1.33845021218,1.33897066909,-0.000520456905879,-0.466036331246,20000,0.00623528881119
first_by_source,EJ-204,1,2,Cherenkov,500,499.769052702,3.36136554469,0.00128528238794,3.36123954931,3.36149154008,0.000251990769955,0.0980293406027,20000,0.0330357124332
first_by_source,EJ-204,1,2,Cherenkov,700,699.69508272,4.72252891221,0.00178301938981,4.72230279522,4.72275502921,-0.000452233994228,-0.126816903061,19999,0.0635737272103
first_by_source,EJ-204,1,2,Cherenkov,900,899.652112037,6.11162522815,0.00296822153166,6.10756332971,6.11568712659,-0.00812379687871,-1.36846202213,19977,0.175993553278
first_by_source,EJ-204,1,2,Cherenkov,1200,1199.61006424,8.34996202094,0.0062164283866,8.34207870331,8.35784533856,-0.0157666352496,-1.26814259484,19729,0.762163809291
first_by_source,EJ-204,1,2,Cherenkov,1350,1349.60613195,9.35845867498,0.00570661653716,9.35190959866,9.3650077513,0.0130981526426,1.14762859544,19558,0.636895532346
first_by_source,EJ-230,2,1,scintillation,50,51.4754296802,0.281828766173,0.000132230038997,0.281620134003,0.282037398344,-0.000417264341651,-1.57779709064,20000,0.000349660694699
