material,source_type,nominal_d_mm,angle_low_deg,angle_high_deg,material_code,source,n_photons,mean_tprop_ns,var_tprop_ns2
EJ-204,1,900,15,30,1,scintillation,1612145,5.16360132673,0.438972145549
EJ-204,1,900,30,39.2652479139,1,scintillation,1072933,5.80790197723,1.01249421612
EJ-204,1,900,39.2652479139,45,1,scintillation,651684,6.77260638587,4.14927367727
EJ-204,1,900,45,60,1,scintillation,871577,7.65878066456,5.07881838804
EJ-204,1,900,60,90,1,scintillation,148158,8.16405445088,33.0989393387
EJ-204,1,900,90,120,1,scintillation,22033,9.99070029365,24.004501225
EJ-204,1,900,120,180.0000001,1,scintillation,174364,7.26312651821,5.07277130834
EJ-204,1,1200,0,15,1,scintillation,550265,6.42182936204,0.277304596848
EJ-204,1,1200,15,30,1,scintillation,1043220,6.8604551348,0.467277233015
EJ-204,1,1200,30,39.2652479139,1,scintillation,642306,7.71258112538,1.03074514751
EJ-204,1,1200,39.2652479139,45,1,scintillation,400804,8.93402129631,3.17101214165
EJ-204,1,1200,45,60,1,scintillation,481126,10.1090646334,5.71682352598
EJ-204,1,1200,60,90,1,scintillation,73740,9.71778411472,59.6561640437
EJ-204,1,1200,90,120,1,scintillation,10118,12.7081850091,43.4823831836
EJ-204,1,1200,120,180.0000001,1,scintillation,100333,9.53746254889,5.43587217013
EJ-204,1,1350,0,15,1,scintillation,470563,7.19386829747,0.273315212792
EJ-204,1,1350,15,30,1,scintillation,845062,7.67719054405,0.52003952013
EJ-204,1,1350,30,39.2652479139,1,scintillation,514237,8.58926166128,1.01602100828
EJ-204,1,1350,39.2652479139,45,1,scintillation,332463,9.70606471598,2.46724917047
EJ-204,1,1350,45,60,1,scintillation,432777,11.0154415764,5.06929065488
EJ-204,1,1350,60,90,1,scintillation,47965,9.20603089155,82.4667425974
EJ-204,1,1350,90,120,1,scintillation,6140,13.2250446294,70.4553171352
EJ-204,1,1350,120,180.0000001,1,scintillation,83624,10.426809693,4.77466501768
EJ-204,2,50,0,15,1,Cherenkov,2784,0.274880762881,0.227667859297
EJ-204,2,50,15,30,1,Cherenkov,7292,0.300691246109,0.332742067228
EJ-204,2,50,30,39.2652479139,1,Cherenkov,6935,0.336853485525,0.436685030578
EJ-204,2,50,39.2652479139,45,1,Cherenkov,360999,0.476629449654,2.43941510606
EJ-204,2,50,45,60,1,Cherenkov,381975,0.456072116834,0.526108489047
EJ-204,2,50,60,90,1,Cherenkov,475513,1.11899527232,0.554057794471
EJ-204,2,50,90,120,1,Cherenkov,92608,1.05367271507,0.290841160143
EJ-204,2,50,120,180.0000001,1,Cherenkov,77877,0.47394487668,1.26373059329
EJ-204,2,200,0,15,1,Cherenkov,2067,1.07421190157,0.159233031242
EJ-204,2,200,15,30,1,Cherenkov,5539,1.14827268105,0.102172815674
EJ-204,2,200,30,39.2652479139,1,Cherenkov,5109,1.33075798705,0.800603879696
EJ-204,2,200,39.2652479139,45,1,Cherenkov,270310,1.58638171535,3.1969488661
EJ-204,2,200,45,60,1,Cherenkov,242667,1.75632218213,0.874108734843
EJ-204,2,200,60,90,1,Cherenkov,161567,3.34575393439,3.23703769618
EJ-204,2,200,90,120,1,Cherenkov,31117,3.42217716356,3.14131180919
EJ-204,2,200,120,180.0000001,1,Cherenkov,52278,1.74142203526,2.41358631509
EJ-204,2,500,0,15,1,Cherenkov,1409,2.70240913471,0.324222066687
EJ-204,2,500,15,30,1,Cherenkov,3461,2.8970353942,0.327348237981
EJ-204,2,500,30,39.2652479139,1,Cherenkov,3009,3.26520348071,0.635775023138
EJ-204,2,500,39.2652479139,45,1,Cherenkov,159488,3.77767434925,3.73685009617
EJ-204,2,500,45,60,1,Cherenkov,104830,4.3180035724,1.60803968084
EJ-204,2,500,60,90,1,Cherenkov,34555,6.99093816754,8.58845583104
EJ-204,2,500,90,120,1,Cherenkov,6540,7.06284129181,8.56812392231
EJ-204,2,500,120,180.0000001,1,Cherenkov,24832,4.15343914493,3.40929177382
EJ-204,2,700,0,15,1,Cherenkov,1161,3.8226206946,0.618064126277
EJ-204,2,700,15,30,1,Cherenkov,2567,4.03099016226,0.120223707918
EJ-204,2,700,30,39.2652479139,1,Cherenkov,2068,4.60509274427,1.06842084545
EJ-204,2,700,39.2652479139,45,1,Cherenkov,111910,5.32844982896,4.72957059195
EJ-204,2,700,45,60,1,Cherenkov,58071,6.0260536575,2.38191995126
EJ-204,2,700,60,90,1,Cherenkov,16053,9.37139141951,10.5799637778
EJ-204,2,700,90,120,1,Cherenkov,3036,9.40245254266,10.7783615897
EJ-204,2,700,120,180.0000001,1,Cherenkov,16277,5.78158684381,5.21315280484
EJ-204,2,900,0,15,1,Cherenkov,937,4.85941682517,0.27474023881
EJ-204,2,900,15,30,1,Cherenkov,1968,5.18320398304,0.160200224605
EJ-204,2,900,30,39.2652479139,1,Cherenkov,1414,5.90675669486,0.841698236923
EJ-204,2,900,39.2652479139,45,1,Cherenkov,84770,6.85038829568,4.43240263673
EJ-204,2,900,45,60,1,Cherenkov,33149,7.81258226404,3.15115715257
EJ-204,2,900,60,90,1,Cherenkov,7546,11.8512903344,9.98813708081
EJ-204,2,900,90,120,1,Cherenkov,1378,11.9624594524,11.6724492143
EJ-204,2,900,120,180.0000001,1,Cherenkov,10799,7.31794872727,5.50346063866
EJ-204,2,1200,0,15,1,Cherenkov,694,6.43507565706,0.0798660494289
EJ-204,2,1200,15,30,1,Cherenkov,1244,6.91155594045,0.141745310396
EJ-204,2,1200,30,39.2652479139,1,Cherenkov,925,7.83120967508,0.459988836219
EJ-204,2,1200,39.2652479139,45,1,Cherenkov,54269,8.96618370359,2.6791942243
EJ-204,2,1200,45,60,1,Cherenkov,18034,10.3885768821,2.48763401857
EJ-204,2,1200,60,90,1,Cherenkov,3779,15.5323462999,8.50748016494
EJ-204,2,1200,90,120,1,Cherenkov,674,15.7080370864,10.7180749377
EJ-204,2,1200,120,180.0000001,1,Cherenkov,6636,9.45490167005,3.53502792108
EJ-204,2,1350,0,15,1,Cherenkov,554,7.22624103264,0.0123065134936
EJ-204,2,1350,15,30,1,Cherenkov,969,7.74790440219,0.0665122158194
EJ-204,2,1350,30,39.2652479139,1,Cherenkov,679,8.77165380733,0.720449877159
EJ-204,2,1350,39.2652479139,45,1,Cherenkov,52556,9.66144089156,1.51778868571
EJ-204,2,1350,45,60,1,Cherenkov,15701,11.4371989141,1.56501476571
EJ-204,2,1350,60,90,1,Cherenkov,2090,17.8164462822,19.601471799
EJ-204,2,1350,90,120,1,Cherenkov,332,17.6071542973,14.3277159926
EJ-204,2,1350,120,180.0000001,1,Cherenkov,5344,10.3842818602,3.40678104175
