material_code,material,gun_x_mm,face_type,face,source_type,source,nominal_d_mm,n_events,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns
2,EJ-230,-500,0,left,2,Cherenkov,200,10000,199.945582029,0.744178470126,1.33893360739,0.000789364757307,0.00623034410407,254.052023581,1.27057958276,149.953031656
2,EJ-230,-500,1,right,1,scintillation,1200,10000,1199.38372282,16.157239869,6.42769374892,0.00131686221319,0.0173395267591,1219.60386599,1.01686218913,186.639366448
2,EJ-230,-500,1,right,2,Cherenkov,1200,9468,1199.62336857,0.678717394928,8.51219936199,0.011670112082,1.28932508203,1615.12225931,1.34634812018,142.69896924
2,EJ-230,-200,0,left,1,scintillation,500,10000,499.785062345,1.20676748817,2.6900541241,0.000512106110102,0.00262226442737,510.416416466,1.02127230951,185.854688684
2,EJ-230,-200,0,left,2,Cherenkov,500,10000,499.780307515,0.421488824021,3.36884544091,0.00174603490509,0.0304833302599,639.211680602,1.27896451093,148.832394812
2,EJ-230,-200,1,right,1,scintillation,900,10000,899.524331145,9.52839488861,4.82345078638,0.000911787687548,0.00831273651485,915.211913903,1.01753770232,186.534849423
2,EJ-230,-200,1,right,2,Cherenkov,900,9940,899.623205863,3.10658387009,6.15688349423,0.00530980468348,0.280220422195,1168.21976984,1.2985421194,146.954138223
2,EJ-230,0,0,left,1,scintillation,700,10000,699.636689945,6.94099740038,3.75609536723,0.000735922339996,0.00541527532336,712.689280142,1.01865461471,186.319319252
2,EJ-230,0,0,left,2,Cherenkov,700,9998,699.709363565,0.398524882713,4.7381422318,0.00276928482613,0.076666377667,899.024877231,1.28483869021,148.203499787
2,EJ-230,0,1,right,1,scintillation,700,10000,699.683915368,1.96457298712,3.75655874936,0.000636234410574,0.00404753745776,712.777203222,1.01871314907,186.307435555
2,EJ-230,0,1,right,2,Cherenkov,700,9998,699.699399922,0.769834358281,4.73811394666,0.00272922764518,0.0744644893416,899.019510351,1.28484822762,148.209630331
2,EJ-230,200,0,left,1,scintillation,900,10000,899.660311189,0.54678351254,4.82535335475,0.00077917221814,0.00607048634587,915.572495532,1.01768690742,186.491911767
2,EJ-230,200,0,left,2,Cherenkov,900,9946,899.654932691,0.820246013969,6.16236095816,0.00591113497023,0.347493382948,1169.25907515,1.29965991915,146.851140015
2,EJ-230,200,1,right,1,scintillation,500,10000,499.740493365,4.98189102079,2.69063467062,0.000577954118771,0.00333997560308,510.5265692,1.0215925142,185.797471011
2,EJ-230,200,1,right,2,Cherenkov,500,10000,499.765974266,0.906924608752,3.3653774146,0.00179387911751,0.0321768048802,638.55365014,1.27768100045,149.008902707
2,EJ-230,500,0,left,1,scintillation,1200,10000,1199.54664607,7.85120723831,6.43014733568,0.00109962774981,0.0120906027002,1220.0694146,1.0171101281,186.595845839
2,EJ-230,500,0,left,2,Cherenkov,1200,9431,1199.63155674,0.585236357276,8.50778774342,0.0116159605899,1.27239499621,1614.28518971,1.34564164784,142.754347853
2,EJ-230,500,1,right,1,scintillation,200,10000,200.237364713,1.28221117536,1.08805244405,0.000326465201388,0.00106568869765,206.449314327,1.03103427005,184.187583585
2,EJ-230,500,1,right,2,Cherenkov,200,10000,199.930534483,1.05460814796,1.3388212412,0.000790722162349,0.00625179013877,254.030702988,1.27055095607,149.952527926
2,EJ-230,650,0,left,1,scintillation,1350,10000,1349.6067638,0.817566066616,7.23494742672,0.00115198675324,0.013269407723,1372.77384339,1.01716572366,186.586109655
2,EJ-230,650,0,left,2,Cherenkov,1350,9269,1349.60798785,0.338784453146,9.49684128045,0.0100029050854,0.927338564845,1801.95024728,1.33515694214,143.239885462
2,EJ-230,650,1,right,1,scintillation,50,10000,51.4325181005,2.29020645013,0.281620134003,0.000188151933914,0.000353976101205,53.435234991,1.03905808471,183.051233406
