cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns
EJ204_xm200,EJ-204,-200,left,2,Cherenkov,500.0,169498,499.8177224101349,0.5426877849231475,4.348145210412235,0.005438338931820609,4.6393299904139695,825.0248956511142,1.6505972311557104,125.87358783929685
EJ204_xm200,EJ-204,-200,right,2,Cherenkov,900.0,71416,899.6701071512239,0.6193620841504942,7.393792240835695,0.009744837016687213,6.195218001721848,1402.9129700900448,1.5593388159530952,129.55984069203836
EJ204_xp0,EJ-204,0,left,1,scintillation,700.0,3876091,686.3658264898226,96.6865514988214,4.8062247732260435,0.0009249744266135708,3.263529028660411,911.9473218235213,1.342095995046617,152.16838514824772
EJ204_xp0,EJ-204,0,right,1,scintillation,700.0,3875608,686.2775538445468,96.95188531840452,4.8050190380446365,0.0009176289347945684,3.2438465100265788,911.7186936945601,1.3424622015224057,152.15692554999706
EJ204_xp0,EJ-204,0,left,2,Cherenkov,700.0,105874,699.7210503842581,0.6890813725926981,5.884500868372586,0.007631665349777824,5.75381179182034,1116.5366000739837,1.5956557443236137,128.22783025700494
EJ204_xp0,EJ-204,0,right,2,Cherenkov,700.0,105269,699.7276139881666,0.6549260575377117,5.895665057781492,0.00777584520942399,6.031195328699447,1118.6549188972415,1.598666941678704,128.15662550330518
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325
EJ204_xp500,EJ-204,500,right,2,Cherenkov,200.0,384780,200.30830491844338,0.8855563174214512,2.0912237806898166,0.00284252547074473,2.9255550306594627,396.7915509785501,1.9807029931024462,115.30617916411016
EJ204_xp650,EJ-204,650,left,1,scintillation,1350.0,1364707,1319.953133043934,189.1877246188715,8.664505156596086,0.001902413300248866,5.098473504285465,1644.0350526270367,1.2663654278621066,157.8771569455677
EJ204_xp650,EJ-204,650,right,1,scintillation,50.0,23248902,52.23798223426302,17.10695895671302,0.595033200764404,0.00017075115052810286,0.5925054240267984,112.89510380266803,2.1678562549140024,122.39074374806066
EJ204_xp650,EJ-204,650,left,2,Cherenkov,1350.0,39046,1349.6260277976623,0.4875297377893284,10.286197749647611,0.011195608352551248,4.772646614074176,1951.7235340793102,1.4461123223099184,134.54878080232479
EJ204_xp650,EJ-204,650,right,2,Cherenkov,50.0,703363,52.57137977698256,2.612331713581546,0.7231091906804855,0.0013080941499870708,1.1408762905138738,137.20298955183492,2.6110580363686164,105.06507868165647
EJ230_xm650,EJ-230,-650,left,1,scintillation,50.0,20898168,52.21550720048914,15.65846481281718,0.5769656139621323,0.0001407717741426161,0.3831937237745451,109.46706124857235,2.102427334312469,123.09434028399889
EJ230_xm650,EJ-230,-650,right,1,scintillation,1350.0,888423,1319.2317966802498,190.16182397849585,8.536024778067878,0.0022028646635501017,4.331902269612769,1619.6571684553962,1.241749585183398,159.46896511686322
EJ230_xm650,EJ-230,-650,left,2,Cherenkov,50.0,683176,52.565685174975755,2.5818108985320753,0.6897470480932228,0.001036639436444371,0.683183772591558,130.8728199684985,2.49129406816396,105.9353385600194
EJ230_xm650,EJ-230,-650,right,2,Cherenkov,1350.0,26266,1349.6072167938871,0.8325918975824129,10.114916696921641,0.010931732856194143,2.9838254357828617,1919.2251512882146,1.4220502734453413,135.8891273998555
EJ230_xm500,EJ-230,-500,left,1,scintillation,200.0,10885651,197.34721557335664,30.348041056446714,1.6367853600067308,0.00029214522037823785,0.9026592148885948,310.5529188545749,1.5823941848769454,136.77368004839158
EJ230_xm500,EJ-230,-500,right,1,scintillation,1200.0,1108531,1173.3997565796437,168.3379924736129,7.701791371987473,0.0019492869712872444,4.25059823625228,1461.3671773432536,1.2603659028866352,158.38788412757896
EJ230_xm500,EJ-230,-500,left,2,Cherenkov,200.0,355512,200.30627071043324,0.8097892692094478,1.9901482397697567,0.002381802588967695,1.8834355100443063,377.6132747244086,1.8849894354961962,116.91172461936273
EJ230_xm500,EJ-230,-500,right,2,Cherenkov,1200.0,29650,1199.617344762288,0.737453191372159,9.400683443321835,0.011986949757559954,3.9412196833862936,1783.704433415064,1.4868840327359045,131.67775150044136
EJ230_xm200,EJ-230,-200,left,1,scintillation,500.0,4721624,490.6713337151094,69.1747712024334,3.5055345042426644,0.0006086323482169106,1.7663579091256452,665.1453857581221,1.367800324853492,149.29146038961053
EJ230_xm200,EJ-230,-200,right,1,scintillation,900.0,1925314,881.0140072159725,125.50096126159211,5.900960817246975,0.001314361957043608,3.275190375345126,1119.6698151146293,1.2853241203581458,156.52181569985748
