cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns,angle_low_deg,angle_high_deg,stratum_n,stratum_mean_tprop_ns,stratum_se_cluster_ns,stratum_var_tprop_ns2
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504,30.0,39.2652479139,1155591,3.224437204213796,0.0007134704335012019,0.5961929247736375
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504,39.2652479139,45.0,727427,3.7199703040873895,0.002021903506399823,2.944929093884099
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504,45.0,60.0,1322150,4.266955035380958,0.001289511247053478,2.1582477256437294
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504,60.0,90.0,332896,5.681798917695532,0.005181545136135443,9.053302870896935
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504,90.0,120.0,56826,6.238559742607893,0.011271579062268954,7.1476498519950695
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504,120.0,180.0000001,238381,4.0806065615744025,0.003286639776930022,2.6054701889224035
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794,0.0,15.0,490,4.831365371133605,0.015470714831779924,0.11642960551254689
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794,15.0,30.0,1011,5.176864708684857,0.011178970976274624,0.12423993616285856
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794,30.0,39.2652479139,739,5.880097152586972,0.03177406930917579,0.7272193499255835
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794,39.2652479139,45.0,42042,6.835979196325399,0.010149365650653292,4.29921922282535
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794,45.0,60.0,16544,7.809042959200224,0.013648952185139906,3.1151652359000153
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794,60.0,90.0,3736,11.85162829474,0.050733626052941336,9.55365912361728
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794,90.0,120.0,680,11.971641097751327,0.12727952072541632,10.993802475243967
EJ204_xp200,EJ-204,200,left,2,Cherenkov,900.0,70545,899.6654781667595,0.5733368260759505,7.366904045483046,0.009560396131320769,5.935496407478595,1397.8106880270734,1.553674979011037,129.8424588334794,120.0,180.0000001,5303,7.30571968620845,0.031299105307033184,5.3269513081204
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441,0.0,15.0,691,2.694922118235238,0.01960280970877847,0.26257791570345645
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441,15.0,30.0,1645,2.9007463737043073,0.016049707232687574,0.4134394799029213
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441,30.0,39.2652479139,1483,3.2623671854650533,0.020020330788182786,0.5843997319339209
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441,39.2652479139,45.0,79404,3.770604662444048,0.006878470996409216,3.659005924383294
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441,45.0,60.0,52527,4.316140925437788,0.005564590494262367,1.601184230599408
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441,60.0,90.0,17282,6.996001548891788,0.022753184363780342,8.801928683602242
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441,90.0,120.0,3267,7.014341340090104,0.049056819352860354,7.826654151973614
EJ204_xp200,EJ-204,200,right,2,Cherenkov,500.0,168626,499.81665694622404,0.7018053758201821,4.3451692310273,0.005365508510754249,4.603567340220163,824.460351262214,1.649472695442756,125.8149646756441,120.0,180.0000001,12327,4.161654767057714,0.016919098446020006,3.5518138551145064
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479,0.0,15.0,275937,6.421731305953372,0.0009890431222126458,0.2760235968835758
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479,15.0,30.0,522424,6.859632853531012,0.0009486020427161936,0.4722987856385572
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479,30.0,39.2652479139,321252,7.71487904518088,0.001784998634455441,1.0227784843621563
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479,39.2652479139,45.0,200250,8.934523147751744,0.00394012888103449,3.1261911571958763
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479,45.0,60.0,240843,10.104281062424565,0.004885242250674825,5.7086060123709075
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479,60.0,90.0,36952,9.739585044212392,0.040429718625926085,59.82862554305774
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479,90.0,120.0,4953,12.6664769372544,0.09186034659619535,43.68082705798997
EJ204_xp500,EJ-204,500,left,1,scintillation,1200.0,1652983,1174.2409864230488,166.8703342284784,7.840626645400764,0.001717096928580334,5.011285901902021,1487.7100520257077,1.292327035993704,156.5785412105479,120.0,180.0000001,50372,9.550033646655619,0.010466544952352134,5.383317789218694
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568,0.0,15.0,861039,1.0886600069767496,0.0005948147487922327,0.30789108879988003
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568,15.0,30.0,2360975,1.1550378742855312,0.0002839936173256462,0.18718963324376348
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568,30.0,39.2652479139,2055044,1.2971843001492482,0.00042130229639795503,0.3610550038963791
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568,39.2652479139,45.0,1421211,1.5076656675752014,0.0011246753841658496,1.779918792328504
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568,45.0,60.0,3293998,1.7383774406069814,0.0005243110909785934,0.8910017293834427
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568,60.0,90.0,1783493,2.861956548616298,0.0011030610531651023,2.114232763458663
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568,90.0,120.0,337503,3.0022512740166913,0.0022730955419915403,1.7188493907007008
EJ204_xp500,EJ-204,500,right,1,scintillation,200.0,12664392,197.41079457457693,31.32701689565519,1.677329824327594,0.00032408750589211534,1.287107421214801,318.24524802545255,1.6207236763421777,135.7367161795568,120.0,180.0000001,551129,1.6796905996433198,0.0014614028949184027,1.1758788869950823
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325,0.0,15.0,367,6.449686968601082,0.013998312957607211,0.07038532428094157
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325,15.0,30.0,600,6.923259729257612,0.01584019323020832,0.1452743207130709
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325,30.0,39.2652479139,499,7.7987447020513585,0.02805550486821615,0.32949279518717844
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325,39.2652479139,45.0,27266,8.952497154397896,0.009557568828462681,2.454606468158701
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325,45.0,60.0,8980,10.375896002813125,0.01666950038176924,2.4600712447493436
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325,60.0,90.0,1898,15.479799942040927,0.06429683760223542,7.91347935611978
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325,90.0,120.0,330,15.635244216835696,0.14029640133541302,6.362775352123833
EJ204_xp500,EJ-204,500,left,2,Cherenkov,1200.0,43267,1199.615235232292,0.5448617530286077,9.559599322260683,0.011637930253309859,5.128722404490304,1813.8578194790716,1.5120204214288082,130.254799393325,120.0,180.0000001,3327,9.434323689892933,0.03213672623563205,3.436268022003091
