cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns,boundary_category,stratum_n,stratum_mean_tprop_ns,stratum_se_cluster_ns,stratum_var_tprop_ns2
EJ200_xm500,EJ-200,-500,left,1,scintillation,200.0,13350698,197.83469879324682,31.21004852114962,1.8142466607394656,0.0004963122724916336,3.2187388865180764,344.22022708614475,1.7518479899355237,133.3557637305582,1-2,595749,1.0869002672829988,0.00017639098783430888,0.01820750196990084
EJ200_xm500,EJ-200,-500,left,1,scintillation,200.0,13350698,197.83469879324682,31.21004852114962,1.8142466607394656,0.0004963122724916336,3.2187388865180764,344.22022708614475,1.7518479899355237,133.3557637305582,3-5,1528188,1.1825557037988095,0.00015843723433564427,0.03646675522968934
EJ200_xm500,EJ-200,-500,left,1,scintillation,200.0,13350698,197.83469879324682,31.21004852114962,1.8142466607394656,0.0004963122724916336,3.2187388865180764,344.22022708614475,1.7518479899355237,133.3557637305582,6-10,2478578,1.2598881965752406,0.00014211349805892106,0.04555966042917747
EJ200_xm500,EJ-200,-500,left,1,scintillation,200.0,13350698,197.83469879324682,31.21004852114962,1.8142466607394656,0.0004963122724916336,3.2187388865180764,344.22022708614475,1.7518479899355237,133.3557637305582,>10,8490180,2.1880173113051113,0.0007423410252990681,4.622467040528996
EJ200_xm500,EJ-200,-500,right,1,scintillation,1200.0,2691218,1178.6512476979483,154.21215769188913,8.220235798463214,0.0017869877189172739,8.34103157014134,1559.7355104221938,1.340242632657255,152.53036425475332,0,40491,0.22458141648903363,0.005732844898546936,1.3235251935667522
EJ200_xm500,EJ-200,-500,right,1,scintillation,1200.0,2691218,1178.6512476979483,154.21215769188913,8.220235798463214,0.0017869877189172739,8.34103157014134,1559.7355104221938,1.340242632657255,152.53036425475332,1-2,12668,5.88106453134533,0.014268333469135414,2.5453817917454273
EJ200_xm500,EJ-200,-500,right,1,scintillation,1200.0,2691218,1178.6512476979483,154.21215769188913,8.220235798463214,0.0017869877189172739,8.34103157014134,1559.7355104221938,1.340242632657255,152.53036425475332,3-5,38694,6.216185781849862,0.004848695726898182,0.9043298473231474
EJ200_xm500,EJ-200,-500,right,1,scintillation,1200.0,2691218,1178.6512476979483,154.21215769188913,8.220235798463214,0.0017869877189172739,8.34103157014134,1559.7355104221938,1.340242632657255,152.53036425475332,6-10,99646,6.399200591671543,0.002107911553049666,0.4408841200613267
EJ200_xm500,EJ-200,-500,right,1,scintillation,1200.0,2691218,1178.6512476979483,154.21215769188913,8.220235798463214,0.0017869877189172739,8.34103157014134,1559.7355104221938,1.340242632657255,152.53036425475332,>10,2499719,8.465218634034398,0.0017491860349872809,7.596444949062601
EJ200_xm500,EJ-200,-500,left,2,Cherenkov,200.0,449133,200.31390229635088,0.8148570967793393,2.406904335307255,0.00418016341124317,7.464962547361757,456.68939681341226,2.2796237257457994,111.90916769096702,0,104,1.0476937996008195,0.0012625695210891025,0.00015052224798894898
EJ200_xm500,EJ-200,-500,left,2,Cherenkov,200.0,449133,200.31390229635088,0.8148570967793393,2.406904335307255,0.00418016341124317,7.464962547361757,456.68939681341226,2.2796237257457994,111.90916769096702,1-2,792,1.0885323986444924,0.002162094035466366,0.0028035136774562375
EJ200_xm500,EJ-200,-500,left,2,Cherenkov,200.0,449133,200.31390229635088,0.8148570967793393,2.406904335307255,0.00418016341124317,7.464962547361757,456.68939681341226,2.2796237257457994,111.90916769096702,3-5,1961,1.1856176280936404,0.004157158840666617,0.019400042542464302
EJ200_xm500,EJ-200,-500,left,2,Cherenkov,200.0,449133,200.31390229635088,0.8148570967793393,2.406904335307255,0.00418016341124317,7.464962547361757,456.68939681341226,2.2796237257457994,111.90916769096702,6-10,3115,1.2554492061303277,0.003640272463948193,0.02485851604287781
EJ200_xm500,EJ-200,-500,left,2,Cherenkov,200.0,449133,200.31390229635088,0.8148570967793393,2.406904335307255,0.00418016341124317,7.464962547361757,456.68939681341226,2.2796237257457994,111.90916769096702,>10,443161,2.4230773163001276,0.004144866388834894,7.545573163660912
EJ200_xm500,EJ-200,-500,right,2,Cherenkov,1200.0,84492,1199.6258561298416,0.6211469864746942,10.176028347205209,0.013442155010525326,14.370105053692555,1930.820358819836,1.6095048372451315,125.85299132434787,0,4,6.3190999786059034,0.0019340577728336025,1.4960821637544086e-05
EJ200_xm500,EJ-200,-500,right,2,Cherenkov,1200.0,84492,1199.6258561298416,0.6211469864746942,10.176028347205209,0.013442155010525326,14.370105053692555,1930.820358819836,1.6095048372451315,125.85299132434787,1-2,18,6.320679050340018,0.0014967994401012602,5.0150376765145666e-05
