material_code,material,source_type,source,face_type,face,d_low_mm,d_high_mm,d_center_mm,n_photons,mean_tprop_ns,var_tprop_ns2,iid_se_tprop_ns
0,EJ-200,1,scintillation,1,right,30,40,35,11228,0.636091855878,4.83973846438,0.0207615486175
0,EJ-200,1,scintillation,1,right,40,50,45,4346450,0.613235625337,1.59680756177,0.000606120462957
0,EJ-200,1,scintillation,1,right,50,60,55,18054882,0.685621639801,1.85035882298,0.00032013315184
0,EJ-200,1,scintillation,1,right,60,70,65,28051,0.737955940526,1.54185130188,0.00741390593945
0,EJ-200,1,scintillation,1,right,70,80,75,8813,0.819344416968,1.6873568862,0.0138369887884
0,EJ-200,1,scintillation,1,right,80,90,85,8100,0.932063071479,2.13475589418,0.0162342265104
0,EJ-200,1,scintillation,1,right,90,100,95,6399,1.00511218618,1.60175318177,0.0158212845896
0,EJ-200,1,scintillation,1,right,100,110,105,6341,1.06780264715,1.7727790164,0.0167204678325
0,EJ-200,1,scintillation,1,right,110,120,115,5793,1.19697826807,2.69155630129,0.0215550964314
0,EJ-200,1,scintillation,1,right,120,130,125,6007,1.28340891803,2.27092415149,0.0194434128835
0,EJ-200,1,scintillation,1,right,130,140,135,5308,1.34025047498,2.36269687906,0.0210978668294
0,EJ-200,1,scintillation,1,right,140,150,145,5202,1.39961233568,2.321942252,0.0211271313929
0,EJ-200,1,scintillation,1,right,150,160,155,6296,1.46867364448,2.05323606059,0.0180587248876
0,EJ-200,1,scintillation,1,right,160,170,165,6120,1.57382860515,2.58694379511,0.0205597479191
0,EJ-200,1,scintillation,1,right,170,180,175,5682,1.60525778778,2.32595172476,0.0202325085992
0,EJ-200,1,scintillation,1,right,180,190,185,8260,1.7306916671,2.65747552384,0.0179367854325
0,EJ-200,1,scintillation,1,right,190,200,195,5853454,1.80457840286,3.0687372531,0.00072405865275
0,EJ-200,1,scintillation,1,right,200,210,205,7214238,1.8664274887,3.28844653556,0.00067514982562
0,EJ-200,1,scintillation,1,right,210,220,215,6379,1.92692163449,2.95264341284,0.0215143980446
0,EJ-200,1,scintillation,1,right,220,230,225,4654,1.99656681221,3.44940771091,0.0272244475392
0,EJ-200,1,scintillation,1,right,230,240,235,3902,2.05375812125,3.20727800973,0.0286698004912
0,EJ-200,1,scintillation,1,right,240,250,245,4174,2.11093093097,2.34999084791,0.023727766674
0,EJ-200,1,scintillation,1,right,250,260,255,3331,2.12543804493,2.19523071848,0.0256715900738
0,EJ-200,1,scintillation,1,right,260,270,265,3972,2.28166276873,2.83429411286,0.0267127031161
