event_id,track_id,global_id,time_alive_ns,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary
0,6260,11,4.45033411318,17,0,17,1,0
0,6329,9,9.75899420766,83,0,83,1,0
0,6244,6,3.61900208401,11,0,11,1,0
0,6223,14,9.05769472563,11,0,11,1,0
0,6194,10,5.58681371969,9,0,9,1,0
0,6193,13,8.32776475818,37,0,37,1,0
0,6182,2,6.99098495124,61,0,61,1,0
0,6178,3,3.28497516564,30,0,30,1,0
0,6162,10,4.42322687764,32,0,32,1,0
0,6131,3,3.8628590973,23,0,23,1,0
0,6128,13,6.00847913189,19,0,19,1,0
0,6126,15,3.73653940894,8,0,8,1,0
0,6114,4,5.70994606666,87,0,87,1,0
0,6087,12,5.40931922808,18,0,18,1,0
0,6081,0,2.85053097012,13,0,13,1,0
0,6040,12,9.21479465861,118,41,104,1,1
0,6032,15,4.87080868166,25,0,25,1,0
0,6026,0,8.89289302194,159,0,159,1,0
0,6021,1,3.57858590757,60,0,60,1,0
0,6000,14,5.93768736181,109,0,109,1,0
0,5981,3,8.18630735738,17,0,17,1,0
0,5966,0,4.71675073627,82,0,82,1,0
0,5965,4,5.27983209038,56,0,56,1,0
0,5957,14,5.2085803042,107,0,107,1,0
0,5945,3,6.18045460425,74,0,74,1,0
0,5934,10,3.44921407548,53,0,53,1,0
0,5933,10,5.61071068209,82,0,82,1,0
0,5924,3,4.45132983477,69,0,69,1,0
0,5923,5,11.3811654894,231,0,231,1,0
0,5911,2,8.05272309614,108,0,108,1,0
0,5906,5,5.65669822417,48,0,48,1,0
0,5879,7,4.22123383267,74,0,74,1,0
0,5877,10,4.95188403192,97,0,97,1,0
0,5869,9,4.21654485162,80,0,80,1,0
0,5866,7,3.08307692632,38,0,38,1,0
0,5864,7,4.10184753099,26,0,26,1,0
0,5853,13,3.3139017307,22,0,22,1,0
0,5843,14,3.61441593137,61,0,61,1,0
0,5840,0,3.66327384445,42,0,42,1,0
0,5834,10,14.5747119892,231,0,231,1,0
0,5829,2,7.16955544492,151,0,151,1,0
0,5809,8,10.2501680776,142,0,142,1,0
0,5805,1,7.49527071628,154,0,154,1,0
0,5803,15,13.2777600037,31,0,31,1,0
0,5792,10,7.85443430385,48,31,48,1,1
0,5784,11,4.91979861113,10,0,10,1,0
0,5768,5,4.13456516238,81,0,81,1,0
0,5743,9,8.8572581556,49,0,49,1,0
0,5741,11,3.96089013246,23,0,23,1,0
0,5729,5,4.83964276664,55,0,55,1,0
0,5728,1,6.10282602067,43,0,43,1,0
0,5713,9,4.14010392258,8,0,8,1,0
0,5710,15,3.49680165017,56,0,56,1,0
0,5707,2,5.17802806363,15,0,15,1,0
0,5685,8,4.47134371157,57,0,57,1,0
0,5677,15,5.49723681465,98,0,98,1,0
0,5670,0,6.27913439631,2,0,2,1,0
0,5654,6,7.07775086312,56,0,56,1,0
0,5644,11,4.2811777754,76,0,76,1,0
0,5643,5,5.67647593317,22,0,22,1,0
0,5632,14,5.92475374413,115,0,115,1,0
0,5610,12,6.69285850424,106,0,106,1,0
0,5599,2,8.82614281499,8,39,6,1,1
0,5595,5,6.99941674564,34,0,34,1,0
0,5575,10,5.89403788231,106,0,106,1,0
0,5572,7,4.14981927817,12,0,12,1,0
0,5567,0,9.32727157248,24,0,24,1,0
0,5556,5,5.24165896388,39,0,39,1,0
0,5545,15,5.33920986425,110,0,110,1,0
0,5535,11,6.19793094281,83,0,83,1,0
0,5520,1,7.89415195327,74,0,74,1,0
0,5512,13,5.18773836952,37,0,37,1,0
0,5511,5,3.95819160556,54,0,54,1,0
0,5509,7,5.28981738303,56,0,56,1,0
0,5508,11,5.71255372548,5,0,5,1,0
0,5504,6,3.31559318603,29,0,29,1,0
0,5493,15,7.0034463692,54,0,54,1,0
0,5458,2,2.8880776019,14,0,14,1,0
0,5441,4,6.39556379943,68,0,68,1,0
0,5439,5,4.18219310328,12,0,12,1,0
0,5427,0,10.7373073778,153,0,153,1,0
0,5407,9,4.94107657653,74,0,74,1,0
0,5397,10,4.06132798792,17,0,17,1,0
0,5385,9,4.33903164329,58,0,58,1,0
0,5374,13,3.64446898672,64,0,64,1,0
0,5372,10,3.86639272512,60,0,60,1,0
0,5366,13,7.81084596078,13,0,13,1,0
0,5364,0,4.10237545835,34,0,34,1,0
0,5357,11,3.21628766496,30,0,30,1,0
0,5353,12,14.2474403827,250,0,250,1,0
0,5349,12,6.38269346797,92,0,92,1,0
0,5337,10,6.94223980499,24,0,24,1,0
0,5335,5,7.15040909368,105,0,105,1,0
0,5331,1,7.12559953074,96,0,96,1,0
0,5322,15,3.53044676783,11,0,11,1,0
0,5297,12,3.73381361331,37,0,37,1,0
0,5284,1,4.97539782501,38,0,38,1,0
0,5272,9,5.06346263487,60,0,60,1,0
0,5256,3,5.71521002525,17,0,17,1,0
0,5250,0,7.35591956219,71,0,71,1,0
0,5238,2,4.27605160886,35,0,35,1,0
0,5230,15,5.86293414221,11,0,11,1,0
0,5217,10,10.8343584161,49,0,49,1,0
0,5213,14,4.56084242832,14,0,14,1,0
0,5207,5,6.663488709,36,0,36,1,0
0,5178,13,8.0628034661,30,0,30,1,0
0,5150,6,9.06017349738,110,0,110,1,0
0,5144,8,15.2519659392,308,0,308,1,0
0,5138,5,4.08116365495,58,0,58,1,0
0,5132,14,5.00758879845,58,0,58,1,0
0,5125,1,7.16416165369,16,0,16,1,0
0,5116,5,5.31032351611,38,0,38,1,0
0,5115,0,4.64275394264,35,0,35,1,0
0,5111,3,5.95648827787,33,0,33,1,0
0,5086,11,3.66602211802,28,0,28,1,0
0,5084,9,6.39768754316,72,0,72,1,0
0,5052,15,5.28593209626,65,0,65,1,0
0,5039,12,6.41788373062,31,0,31,1,0
