estimator,x_mm,sigma_ps,boot_ps,flag
END_R_SUM4,-100,1319.051349915533,142.10624365207528,ok
END_R_SUM4,-50,1069.1710805313235,81.78837523431031,ok
END_R_SUM4,0,1061.3414523972986,123.8134189488853,ok
END_R_SUM4,50,933.6946662951008,76.80419851048147,ok
END_R_SUM4,100,916.8393247282173,64.49368669782437,ok
END_R_SUM4,150,865.060636043654,89.25096599569856,ok
END_R_SUM4,200,969.0140287399494,80.89412529781768,ok
END_R_SUM4,250,904.8292851531286,51.87920117908051,ok
END_R_SUM4,300,855.9543299777521,42.58694089872267,ok
END_R_SUM4,350,661.6863133503647,36.27605913632181,ok
END_R_SUM4,400,640.9142052726506,23.61275443384982,ok
END_R_SUM4,450,660.5501020234982,23.610036525259673,ok
END_R_SUM4,500,401.75024020455425,17.251954002012006,ok
END_R_SUM4,550,347.28657979347037,9.986355184343129,ok
END_R_SUM4,600,223.2877494121738,5.497887529519247,ok
END_R_SUM4,650,100.20424143719133,2.292306855114288,ok
END_R_SUM4,670,47.67421838440459,1.0632865858947083,ok
END_R_SUM4,690,24.979410414292424,3.174594802532714,ok
END_L_SUM8,-690,31.59490496641234,6.064187897834717,ok
END_L_SUM8,-670,52.772381117226914,1.1213601310994268,ok
END_L_SUM8,-650,75.5071716431775,1.596660578787455,ok
END_L_SUM8,-600,141.39843564786108,3.471938338287069,ok
END_L_SUM8,-550,192.48192564683524,5.947983579434306,ok
END_L_SUM8,-500,249.6001247152187,9.492209864699543,ok
END_L_SUM8,-450,431.7128879667985,14.511208151478277,ok
END_L_SUM8,-400,520.5939275401787,18.33519945460763,ok
END_L_SUM8,-350,613.3845626482769,22.50036447535815,ok
END_L_SUM8,-300,564.3458932409596,29.64792136345547,ok
END_L_SUM8,-250,735.1782468999995,34.88353010561006,ok
END_L_SUM8,-200,886.1812386527604,45.48267459212907,ok
END_L_SUM8,-150,875.5972950612324,49.54219905762335,ok
END_L_SUM8,-100,818.7226962631943,54.33326522692789,ok
END_L_SUM8,-50,954.0155304432594,60.54097433810256,ok
END_L_SUM8,0,943.61404454894,58.35654736642867,ok
END_L_SUM8,50,946.767963390509,78.4548792391655,ok
END_L_SUM8,100,818.8315012484982,71.77451317074475,ok
END_L_SUM8,150,1031.3208721659548,95.30775290771714,ok
END_L_SUM8,200,1052.9254981432437,97.1060917724743,ok
END_L_SUM8,250,1123.7862238632097,203.59843936067819,ok
END_L_SUM8,300,1013.7135602331023,103.93644721159406,ok
END_L_SUM8,350,1085.2392040224552,98.07026566060438,ok
END_L_SUM8,400,1060.8415399871583,111.32098603281926,ok
END_L_SUM8,450,1160.394348298248,138.45234816806442,ok
END_L_SUM8,500,1532.388456782359,238.82077186345225,ok
END_L_SUM8,550,1195.6758253562318,161.97063761365308,ok
END_L_SUM8,600,1635.447813534421,271.91557097123507,ok
END_L_SUM8,650,1183.9516073110872,256.5258836601842,ok
END_L_SUM8,670,1567.2545732603517,686.9246146421716,ok
END_L_SUM8,690,1341.4964041250792,295.78355733687636,ok
END_R_SUM8,-690,1039.6330592076624,194.08341801733803,ok
END_R_SUM8,-670,970.6114550494392,168.18253013860667,ok
END_R_SUM8,-650,1300.3375949868969,242.0600222255524,ok
END_R_SUM8,-600,1417.8015335000532,267.9684297122859,ok
END_R_SUM8,-550,1328.8230762217797,130.24390417185393,ok
