event_id,opsc-101_world_y_30mm_numerator,opsc-101_world_y_30mm_denominator,opsc-101_world_near_x_numerator,opsc-101_world_near_x_denominator,opsc-101_world_far_x_numerator,opsc-101_world_far_x_denominator,opsc-106_world_y_30mm_numerator,opsc-106_world_y_30mm_denominator,opsc-106_world_near_x_numerator,opsc-106_world_near_x_denominator,opsc-106_world_far_x_numerator,opsc-106_world_far_x_denominator
76,4567.007599820059,17632.427481635783,4537.155054941836,17567.670348942454,4397.064245718599,17303.804892794706,4556.144334704128,17566.86575398767,4510.312602663489,17469.765817306317,4320.342937427058,17131.296762127113
77,5761.159979211879,22221.988250062866,5724.271847577355,22142.318640722187,5551.127996753392,21810.77694669571,5747.5238038525,22141.061766405255,5690.889094555536,22020.949602825902,5456.067813535009,21594.376192192838
78,3834.6500286790215,15234.220822578074,3812.051599151837,15181.790293947728,3705.9335892243175,14967.090365603044,3825.868618556245,15178.488857880795,3791.171270600652,15099.635106590233,3647.2103195669188,14825.023912096261
79,7148.9141564306055,27859.233040165956,7103.1147961816905,27760.650715915,6887.927833525569,27356.659656293603,7131.706294111606,27752.81402873286,7061.381792986129,27604.77189137189,6769.353743964301,27085.539024839607
80,3993.330571578142,15159.273619311132,3965.865663638804,15102.220194045109,3836.9567140931313,14865.058420740384,3983.7961335836335,15103.57497906241,3941.629149165416,15017.633793419876,3766.8049527814405,14711.969445362505
81,5551.844916442938,21311.42916990781,5517.206755603975,21233.419819624753,5354.691042585717,20911.14476624374,5538.600712347796,21232.699712854985,5485.423000517886,21115.371628027628,5265.0736831357935,20701.185519035997
82,5990.577783872968,23350.22875972979,5953.58863591778,23268.189013038056,5779.872011012222,22927.70022551391,5976.607455344803,23262.100242352335,5919.813868780245,23138.48076195448,5684.130271449407,22701.249997974002
83,4087.222909187063,15833.709845554451,4060.6498912003335,15778.808992491726,3935.8702703192016,15546.794276598323,4077.6262971902784,15774.869576936067,4036.826487579392,15691.882184473377,3867.551715499674,15391.793259606486
84,4291.281161400593,16991.473679475966,4263.420567742785,16930.79661931938,4132.744272224673,16678.337378000604,4281.146034018275,16927.99260846858,4238.375047103641,16836.561004420877,4061.2298770080233,16511.24446229562
85,4779.183427234357,18084.233193852302,4748.603768031378,18021.250059969076,4604.842763620614,17758.776745892286,4767.848447992903,18015.880944178338,4720.890490651854,17920.933206352245,4525.720398657339,17582.607381614103
86,4039.990657096421,15712.037522769611,4013.188404292917,15654.948072329016,3887.3765681806894,15419.434120499074,4030.262026222056,15653.56156266783,3989.111968978243,15567.765998053002,3818.4743819006485,15264.806554666582
87,4445.974064283526,17433.505303722115,4418.164520377774,17371.546710821258,4287.52064165675,17116.858080628415,4435.662360824001,17368.33247750156,4392.96173087868,17275.151444981253,4215.6837970445795,16948.994182755923
88,4735.635750818317,18467.04530572855,4707.129277312415,18400.069667443495,4573.291706455745,18128.157272423166,4724.558842397894,18397.09713537538,4680.791278681664,18296.482333236818,4499.245196807837,17949.867958791943
89,4306.420150914852,16436.430445091904,4280.308143484274,16379.811078208646,4157.745950915443,16144.64541938556,4296.3638814147425,16374.780830934187,4256.273900569085,16289.403390799838,4090.053745163832,15987.426417504887
90,6289.683054223161,24807.97966921932,6249.435740193379,24720.501782563922,6060.411940614862,24356.0908584048,6274.630415036969,24716.68650932407,6212.833996149991,24584.66011222872,5956.378038760533,24116.414376039982
91,4335.121658329068,17130.33176002133,4308.120752216173,17073.273880792312,4181.183676595835,16836.88599297643,4324.895056750599,17067.71001769828,4283.432652276456,16981.720796082725,4111.099796903472,16677.78149176729
92,4193.244232808182,16431.789479034567,4166.715188400021,16371.675555436435,4042.299534068796,16126.539993167267,4183.089024291365,16371.202597817763,4142.362750392105,16280.859857821244,3973.719219291,15967.634232606888
93,4794.150894836122,18912.355853631627,4765.613595589015,18848.54750196744,4631.516452983578,18585.095782700297,4782.79702237084,18841.972880323592,4738.977672969814,18745.99029394249,4556.982066607448,18407.4625886426
94,6029.40142555336,23350.386208392356,5991.107497672955,23269.50014476505,5811.214456041595,22929.225860775554,6015.330409357196,23265.347405906527,5956.5315493131475,23143.127048607366,5712.427589977882,22703.846819014638
95,4866.084409025756,19142.338350000064,4835.790963043088,19076.61205471226,4693.55296619008,18801.854193271607,4854.692221891713,19070.04013520149,4808.1805920930665,18970.79081051906,4615.231311858361,18617.252556850894
96,5357.736834563115,20699.123370393343,5324.712655579701,20624.924896135493,5169.4834960267735,20319.02728714911,5345.002599884042,20622.131932888507,5294.291762344029,20510.62277114731,5083.573726278931,20116.88387088902
97,4142.996464031083,16259.22841871827,4118.0985600507165,16199.619467492035,4001.102741630684,15958.812945792188,4133.2700550153495,16198.519652074645,4095.0390312866307,16109.38266743268,3936.25292580183,15801.88593129387
98,4927.929746056623,19084.918268461588,4894.056506282419,19011.771467918894,4735.148647965095,18706.11929581848,4915.879437869267,19011.84331513806,4863.876855841203,18901.636886436543,4648.432895636839,18507.57411844805
99,4151.883599006599,15959.34300517092,4124.9994462099485,15901.759293656753,3998.6081379142083,15660.907329510725,4142.092850137794,15900.391753858583,4100.809536958219,15813.640570601707,3929.2181577525707,15501.944321123117
100,3524.500960781261,13957.392165665708,3502.602215904543,13909.390151411,3399.6988906030724,13712.504235260989,3516.207160470015,13905.74700481334,3482.5813439698636,13833.608410907265,3342.921492628101,13580.78874938139
101,4073.946998989701,15873.307733933994,4045.568354198245,15811.577852324102,3912.467316647305,15564.104302582526,4064.1932215883453,15814.889604881584,4020.6271371279695,15723.156909187237,3840.199084840319,15404.772007099979
102,6691.468764615014,26012.103385790386,6649.561694899785,25918.334099025524,6452.733632390505,25530.666178403288,6675.720482547508,25915.045533155993,6611.37526743219,25773.64727438705,6344.324258282765,25277.760689776853
103,4048.5753412312542,15447.696277884337,4025.432776616088,15394.084210689442,3916.5741973649815,15171.311750074103,4039.1796711623538,15390.608382236062,4003.639689383211,15309.81080630813,3855.802730085375,15023.747287818696
104,4318.931247942377,16691.840096939854,4292.287883406839,16632.89588165287,4166.88998592024,16388.080495057955,4308.59623359537,16630.75790217366,4267.677271018443,16542.168060887965,4097.318141089293,16226.433042877288
105,4528.978166066278,17287.70414569308,4500.194790074068,17220.998988171974,4365.073112738747,16948.507438471705,4518.098461255004,17222.486971598148,4473.906331458912,17122.246874583703,4290.633703044506,16773.789696323038
106,4643.833298872907,18046.925347561402,4615.880899434892,17985.1860186182,4484.658744743026,17732.145871567005,4632.870024419226,17980.33044141501,4589.9536432542645,17887.415963791824,4411.969887223273,17563.9409785188
107,3831.516831927347,15200.703038958973,3809.2188717944314,15148.650730461706,3704.446257947319,14931.36342467358,3822.6596441469287,15144.651089267667,3788.421025198824,15066.06150970081,3646.232392401742,14786.958724660546
108,4121.98236343768,16179.097900188244,4097.2245631921105,16125.308697671293,3980.874718953865,15899.508392912852,4112.248312731268,16120.388268949548,4074.23195292563,16039.154462730654,3916.311511430777,15748.125525349553
109,4147.874167466303,16036.0562607338,4121.743245571129,15979.390275021802,3999.11913833967,15744.63855197395,4138.078244273262,15975.802458818298,4097.960290528743,15890.51543845816,3931.677946337374,15588.448439610142
110,4285.235771495133,16495.576160249166,4256.612790047554,16433.687607430267,4122.141395943635,16176.683624679396,4275.074605163189,16435.081194681483,4231.124798959227,16341.792188641866,4048.644931883642,16011.30235540449
111,4423.777970622232,17499.81737657125,4394.363550518228,17435.153622489444,4256.131784107014,17175.392869293766,4413.354807904018,17434.799439728493,4368.188157728329,17338.20441688334,4180.568595818864,17006.208169542624
112,4537.60840428337,17538.736389488153,4509.438848133222,17475.605504038966,4377.230547158906,17215.805361385846,4527.087664662762,17474.176453096392,4483.839184976219,17379.196216995555,4304.545318148032,17046.344274719144
113,5048.296847740378,19710.479433956836,5017.627757586003,19644.179741498065,4873.540987619489,19368.353230927478,5036.45411478978,19636.93613753878,4989.362444214647,19537.090387887307,4793.832751903052,19181.32929997356
114,3893.999339218679,15172.804662233988,3868.887840223535,15115.936530605408,3750.9803868578606,14880.753232816596,3884.8467880789794,15115.896048755525,3846.2913063615765,15030.22783231747,3686.3481896991448,14728.35319318381
115,3808.3247645702213,14845.05223779777,3784.0391422512876,14789.406472909342,3670.1607529097455,14562.027444231233,3799.358642050199,14789.555978269384,3762.0770220341883,14705.95340046645,3607.7293194624226,14415.343834084842
116,4388.349984940999,17171.197821491605,4362.685991798424,17111.397071625775,4242.084869633941,16865.6372148468,4378.252897175529,17107.110805624874,4338.845293838855,17017.24210484705,4175.1627392751525,16702.515274073136
117,5026.600995319674,19660.134062479094,4995.524963842629,19589.13433799453,4849.626108018068,19298.407151648684,5014.931975774958,19586.922064764913,4967.219306606602,19480.20499473774,4769.316055296415,19108.373328714108
118,6509.582925676579,25073.11172488197,6464.54344866799,24981.95840265657,6252.811387853632,24602.95573103955,6493.901272271673,24982.711123466208,6424.739226250818,24845.625076802597,6137.296015563147,24356.067725091198
