event_id,detected,matched_boundary_detection,orphan_standard_SD,orphan_fraction_of_detected
108,4578,4500,78,0.01703800786369594
109,5655,5582,73,0.01290893015030946
110,4262,4194,68,0.015954950727358048
111,4581,4513,68,0.014843920541366514
112,9565,9404,161,0.016832200731834814
113,4638,4572,66,0.014230271668822769
114,5881,5794,87,0.01479340248257099
115,7204,7072,132,0.018323153803442533
116,4799,4732,67,0.013961241925401125
117,5391,5307,84,0.015581524763494713
118,4327,4254,73,0.016870811185578923
119,4716,4642,74,0.015691263782866838
120,5027,4941,86,0.017107618858165904
121,4902,4847,55,0.011219910240718074
122,5325,5231,94,0.017652582159624414
123,5162,5070,92,0.017822549399457575
124,4654,4592,62,0.013321873657069187
125,4791,4728,63,0.013149655604257984
126,8576,8462,114,0.013292910447761194
127,6384,6297,87,0.01362781954887218
128,4566,4503,63,0.013797634691195795
129,5831,5749,82,0.014062767964328588
130,4646,4582,64,0.013775290572535515
131,4836,4769,67,0.013854425144747726
132,5675,5586,89,0.01568281938325991
133,4704,4629,75,0.01594387755102041
134,5103,5034,69,0.01352145796590241
135,4969,4913,56,0.011269873213926343
136,5581,5495,86,0.015409424834259094
137,6017,5951,66,0.010968921389396709
138,5003,4930,73,0.014591245252848292
139,5008,4927,81,0.016174121405750797
140,4385,4325,60,0.013683010262257697
141,4500,4432,68,0.015111111111111112
142,5786,5689,97,0.0167646042170757
143,4880,4809,71,0.014549180327868852
144,5401,5323,78,0.014441770042584706
145,11125,10948,177,0.015910112359550563
146,7103,7004,99,0.01393777277206814
147,4871,4792,79,0.016218435639499075
148,6988,6867,121,0.017315397824842586
149,5369,5286,83,0.015459117154032408
150,7957,7833,124,0.015583762724644967
151,5865,5776,89,0.015174765558397273
152,9943,9787,156,0.015689429749572565
153,6126,6037,89,0.014528240287300032
154,4231,4167,64,0.015126447648310093
155,4881,4811,70,0.014341323499282934
156,5236,5158,78,0.014896867838044309
157,5327,5250,77,0.01445466491458607
158,6701,6600,101,0.015072377257125803
159,7629,7502,127,0.016647004849914798
160,4891,4814,77,0.01574320179922306
161,6090,6006,84,0.013793103448275862
162,5870,5785,85,0.014480408858603067
163,5183,5119,64,0.012348060968551032
164,5250,5179,71,0.013523809523809523
165,4352,4288,64,0.014705882352941176
166,4852,4800,52,0.010717230008244023
167,4179,4112,67,0.016032543670734624
168,5232,5144,88,0.016819571865443424
169,5237,5160,77,0.014703074279167462
170,6327,6202,125,0.019756598703967124
171,4972,4898,74,0.014883346741753822
172,10569,10401,168,0.015895543570820323
173,4708,4643,65,0.013806287170773151
174,5680,5600,80,0.014084507042253521
175,5473,5396,77,0.014069066325598392
176,5072,5000,72,0.014195583596214511
177,5605,5525,80,0.014272970561998216
178,7464,7357,107,0.014335476956055734
179,8221,8099,122,0.014840043790293151
180,5374,5293,81,0.015072571641235578
181,4431,4369,62,0.01399232678853532
182,5956,5879,77,0.012928139691067831
183,5042,4961,81,0.0160650535501785
184,4564,4491,73,0.015994741454864153
185,5633,5550,83,0.014734599680454465
186,8676,8540,136,0.015675426463808206
187,4584,4508,76,0.016579406631762654
188,13217,12983,234,0.017704471513959295
189,5383,5309,74,0.013746981237228312
190,6971,6868,103,0.014775498493759863
191,4501,4433,68,0.01510775383248167
192,4889,4805,84,0.017181427694825117
193,4906,4826,80,0.016306563391765186
194,5062,4991,71,0.014026076649545634
195,5895,5801,94,0.015945716709075488
196,8688,8546,142,0.01634438305709024
