event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,photon_equivalent_energy_MeV,equivalent_minus_nonoptical_MeV
88,16272,1.5812227607056046,0.02490740728740696,1.5563153534181977,1.5646153846153845,0.008300031197186808
89,18293,1.7525685410381127,0.02784395788841293,1.7247245831496998,1.7589423076923076,0.03421772454260785
90,19161,1.8352189092072306,0.029257714903293104,1.8059611943039375,1.8424038461538461,0.03644265184990858
91,19859,1.9116484478841749,0.030088497182714242,1.8815599507014606,1.9095192307692308,0.027959280067770154
92,17556,1.6721736799703288,0.026461928420016385,1.6457117515503124,1.688076923076923,0.04236517152661068
93,20124,1.9429461129640764,0.03028535375466192,1.9126607592094145,1.935,0.02233924079058558
94,19218,1.8497382488301435,0.029343167994655243,1.8203950808354883,1.8478846153846153,0.02748953454912706
95,24125,2.3237020423103867,0.0363924211963997,2.287309621113987,2.3197115384615383,0.03240191734755138
96,21630,2.0696143318656604,0.032342005169448386,2.037272326696212,2.0798076923076922,0.04253536561148019
97,19809,1.9141691713492295,0.030266987822883302,1.883902183526346,1.9047115384615385,0.020809354935192426
98,22288,2.1596797811963877,0.03387729588170248,2.125802485314685,2.143076923076923,0.017274437762238026
99,17950,1.7359213986822544,0.027398106388665546,1.708523292293589,1.7259615384615385,0.017438246167949645
100,15628,1.512880880554052,0.024185263303645795,1.488695617250406,1.5026923076923078,0.013996690441901771
101,17208,1.646160970801961,0.026187893740375934,1.6199730770615852,1.6546153846153846,0.03464230755379938
102,20641,1.9676375373806467,0.031435772582609926,1.9362017647980367,1.9847115384615384,0.04850977366350162
103,19245,1.8426149524500373,0.029281099840334078,1.8133338526097031,1.8504807692307692,0.03714691662106606
104,38990,3.749623539034435,0.059322224616974874,3.6903013144174603,3.7490384615384613,0.05873714712100098
105,15272,1.4600782735324576,0.023537040738661197,1.4365412327937963,1.4684615384615385,0.03192030566774218
106,22477,2.1534769316700664,0.03405181135705919,2.1194251203130072,2.16125,0.041824879686992666
107,15661,1.5241344874907312,0.023959674592607793,1.5001748128981234,1.5058653846153847,0.0056905717172612835
108,16364,1.5697182620790295,0.02513407551802664,1.5445841865610028,1.5734615384615385,0.02887735190053564
