run_tag,event_id,track_id,global_id,detected_end_side,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary,first_detection_time_ns,gun_x_mm
x0mm,0,1256,10,1,52,0,52,1,0,3.46606342361,0
x0mm,0,1238,11,1,28,0,28,1,0,6.42830168329,0
x0mm,0,1231,8,1,41,0,41,1,0,6.03439194085,0
x0mm,0,1220,9,1,93,0,93,1,0,8.42250275803,0
x0mm,0,1209,11,1,103,0,103,1,0,5.62516125154,0
x0mm,0,1174,2,0,108,0,108,1,0,8.77756710522,0
x0mm,0,1170,2,0,57,0,57,1,0,6.43930066096,0
x0mm,0,1169,9,1,71,0,71,1,0,4.99186931182,0
x0mm,0,1155,11,1,71,0,71,1,0,4.64329377805,0
x0mm,0,1115,2,0,46,0,46,1,0,5.28131843932,0
x0mm,0,1113,9,1,61,0,61,1,0,4.4619921663,0
x0mm,0,1100,1,0,53,0,53,1,0,4.18192915098,0
x0mm,0,1066,3,0,32,0,32,1,0,3.47475095009,0
x0mm,0,1048,14,1,5,0,5,1,0,3.81983763989,0
x0mm,0,1047,2,0,42,0,42,1,0,5.08883217253,0
x0mm,0,1046,12,1,39,0,39,1,0,4.75485083677,0
x0mm,0,1045,0,0,72,0,72,1,0,4.90295271762,0
x0mm,0,1023,0,0,58,0,58,1,0,6.31101542123,0
x0mm,0,1021,5,0,13,0,13,1,0,3.69247218462,0
x0mm,0,1015,6,0,97,28,87,1,1,13.0202102321,0
x0mm,0,3075,3,0,95,0,95,1,0,9.30150901321,0
x0mm,0,992,6,0,87,0,87,1,0,6.32777922555,0
x0mm,0,989,7,0,360,0,360,1,0,16.4286206658,0
x0mm,0,985,7,0,31,0,31,1,0,3.25232024631,0
x0mm,0,975,3,0,56,0,56,1,0,4.98491519206,0
x0mm,0,974,10,1,58,0,58,1,0,4.86829736136,0
x0mm,0,972,15,1,7,0,7,1,0,4.68730957296,0
x0mm,0,934,8,1,13,0,13,1,0,3.42754406615,0
x0mm,0,921,7,0,178,0,178,1,0,10.8201308133,0
x0mm,0,916,3,0,62,0,62,1,0,4.04841077243,0
x0mm,0,900,3,0,39,0,39,1,0,4.11971330304,0
x0mm,0,899,7,0,48,0,48,1,0,3.11627270608,0
x0mm,0,897,2,0,82,0,82,1,0,7.51924791083,0
x0mm,0,868,13,1,2,0,2,1,0,4.83711917479,0
x0mm,0,865,14,1,17,0,17,1,0,4.11545621449,0
x0mm,0,853,15,1,14,0,14,1,0,4.14185757071,0
x0mm,0,842,15,1,174,0,174,1,0,9.11686161626,0
x0mm,0,841,15,1,20,0,20,1,0,4.08197944881,0
x0mm,0,3077,4,0,4,0,4,1,0,6.43502162676,0
x0mm,0,3078,4,0,0,0,0,0,0,6.90788365039,0
x0mm,0,798,5,0,89,0,89,1,0,5.71519310298,0
x0mm,0,790,3,0,104,0,104,1,0,13.1261062204,0
