event_id,produced_scint,produced_optical,detected_left,detected_right,detected_top,edep_total_MeV,edep_nonionizing_MeV,edep_ionizing_MeV,edep_optical_MeV,gun_x_mm
127,22868,23863,482,457,5445,2.170498340583933,0.0,2.170498340583933,0.03464658172380422,0.0
128,16313,17367,331,337,3898,1.58567168793593,0.0,1.58567168793593,0.02520151839560446,0.0
129,21282,22272,398,436,4997,2.037328111472751,0.0,2.037328111472751,0.03210155975570294,0.0
130,16829,17834,317,342,3987,1.6313445391086698,0.0,1.6313445391086698,0.025547549237556148,0.0
131,17277,18327,360,355,4121,1.6682856509251078,0.0,1.6682856509251078,0.026564073195367428,0.0
132,20507,21569,447,409,4819,1.9846411657420966,0.0,1.9846411657420966,0.030823984328334615,0.0
133,17136,18190,332,336,4036,1.6344095938366072,0.0,1.6344095938366072,0.025937808280017828,0.0
134,18446,19467,367,360,4376,1.7801183406458088,0.0,1.7801183406458088,0.028130101260968512,0.0
135,18073,19130,318,336,4315,1.759102234193498,0.0,1.759102234193498,0.027399804120682887,0.0
136,20524,21506,399,366,4816,1.9750178185687128,0.0,1.9750178185687128,0.030707701660496457,0.0
137,21922,22950,434,404,5179,2.1085573707301157,0.0,2.1085573707301157,0.03323090335538324,0.0
