x_beam_mm,side,distance_cm,mean_ns,mean_ns_error,t50_ns,t50_ns_error,fpt_mean_ns,fpt_mean_ns_error,frac_gt10,frac_gt10_error
250,left,95.0,6.3169445209703134,0.003580911806097816,5.798499191875415,0.004797484324569571,3.7361401309743636,0.0024518671129709086,0.05966062236724724,0.0004455885089861093
250,right,45.0,4.58166191401975,0.0024360765853332906,4.072683065844074,0.00301349234527726,1.9278594165396485,0.0016139826611841906,0.023493340975393923,0.00017935442146193784
300,left,100.0,6.495069777317784,0.004748070952785844,5.975569353354311,0.004611156447501409,3.9149613427625947,0.003053713959743601,0.0663325710764041,0.0005762232625897181
300,right,40.0,4.387444340208079,0.00243924164987088,3.8835358782929927,0.001959647449933308,1.7509103378141073,0.0011645307232884105,0.020831871695607965,0.00017821922137995725
350,left,105.0,6.656543680086906,0.004705699079325702,6.142935048072128,0.005543191182505842,4.093313189444471,0.003430645672060892,0.07000487880338423,0.0006296232187607457
350,right,35.0,4.2154694421301055,0.0025203058154639724,3.710838859694668,0.0019602474659574684,1.5688371379188053,0.001546666981368649,0.01908018595405708,0.0001632538858429552
400,left,110.0,6.829406639751459,0.007193563334753026,6.303916699914067,0.006015285520989963,4.281797662273564,0.003369139573254094,0.07879628456547687,0.0008130044781783003
400,right,30.0,4.017112942349415,0.0016568948935210257,3.512059547223169,0.0017984012864808068,1.3869021011532032,0.0010077754238134058,0.016931786181051477,0.00012235887751338223
450,left,115.0,6.992394353380436,0.005856987150188875,6.477261523467536,0.005099487201903584,4.461491964863708,0.002835226300287129,0.08453588288731032,0.0007324495868330836
450,right,25.0,3.8329548929575603,0.0013505035397886086,3.3311236841010166,0.0011223641828373514,1.2049447785066878,0.0011434503987464348,0.015327316240529883,8.382539486360353e-05
500,left,120.0,7.170959360609758,0.005432855233325491,6.645448555623754,0.004867299846444515,4.646898605872687,0.002952840683693946,0.0940924150247436,0.0007330081467310306
500,right,20.0,3.6256654378351283,0.0017189573098686144,3.1205449207010485,0.0011596379684634581,1.0185051800575948,0.001014766043350544,0.013699394199334816,7.826604197653345e-05
550,left,125.0,7.328454635116734,0.006650923264948852,6.808695206530476,0.00784368623109634,4.822669567415738,0.004244517380067501,0.10136091453456723,0.0007914234323640986
550,right,15.0,3.421393006613404,0.0017777169389840777,2.922823372924962,0.0018500683689705454,0.8281123182135091,0.0007285785098341017,0.011831432073159235,5.163304641594101e-05
600,left,130.0,7.518021115847651,0.0062514759357603835,6.9995187691863014,0.006513139790853321,5.013730931338543,0.0031906758863861004,0.11233251411354592,0.0008669454429032083
600,right,10.0,3.1879554206533482,0.0010541004680046284,2.687617265827419,0.001108346167230655,0.6313757529393064,0.00048097710200898335,0.010347309192969731,5.053817615116759e-05
650,left,135.0,7.676735611234824,0.006992411815723773,7.157805865576085,0.0054185927370424105,5.198848311133411,0.004885284120122159,0.12051383176516987,0.0014382645870706092
650,right,5.0,2.929988536803547,0.0010400280873135164,2.427140738935429,0.0006645621819258361,0.42594182310360656,0.00019970606201236236,0.008807252497410474,4.6565038666420853e-05
670,left,137.0,7.753664727583698,0.006361555706292283,7.231097356938693,0.007087025514444502,5.26982672633502,0.004070144758207568,0.12645298892114462,0.000812285800515641
670,right,3.0,2.79999128239918,0.0008974754899910687,2.2961201457633775,0.0009037052629653891,0.34118141626868365,0.00011975297496680789,0.008057617374085932,4.005251890795138e-05
690,left,139.0,7.810409171172044,0.00902898791251178,7.292048613814681,0.009200387139184783,5.340313303048758,0.0041247559257682484,0.12945527502145301,0.0012062428536481773
690,right,1.0,2.633566897702315,0.0008663451811484713,2.125433988388733,0.0007623740103516785,0.2557465354883369,7.79702816382663e-05,0.007253919396856029,2.8506611020800296e-05
